team,espn_name,twitter,url,ncaa_id,stats_name,private,team_state,conference,division
DePauw,DePauw,DePauw_WBB,https://depauwtigers.com/sports/wbkb/index,177,NA,NA,IN,NCAC,III
Delaware State,Delaware St,dsuwbb,https://dsuhornets.com/sports/womens-basketball,178,Delaware St.,NA,DE,MEAC,I
Delaware Valley,Delaware Valley,DVUwbb,https://athletics.delval.edu/sports/womens-basketball,179,NA,NA,PA,MAC Freedom,III
Delaware,Delaware,delawarewbb,https://bluehens.com/sports/womens-basketball,180,Delaware,NA,DE,CAA,I
Delta St.,Delta St.,DeltaStateWBB,https://gostatesmen.com/sports/womens-basketball,181,Delta St.,NA,MS,Gulf South,II
Denison,Denison,DUWBB,https://denisonbigred.com/sports/womens-basketball,182,Denison,NA,OH,NCAC,III
Denver,Denver,DU_WHoops,https://denverpioneers.com/sports/womens-basketball,183,Denver,NA,CO,Summit League,I
Detroit Mercy,Detroit Mercy,detroit_wbb,https://detroittitans.com/sports/womens-basketball,184,Detroit Mercy,NA,MI,Horizon,I
Dickinson,Dickinson,DickinsonWBB,https://www.dickinsonathletics.com/sports/wbkb/index,185,NA,NA,PA,Centennial,III
Dist. Columbia,Dist. Columbia,UDC_WBB,https://www.udcfirebirds.com/sports/wbkb/index,186,NA,NA,DC,ECC,II
Drake,Drake,drakewbb,https://godrakebulldogs.com/sports/womens-basketball/,189,Drake,NA,IA,MVC,I
Drew,Drew,Rangers_WBB,https://drewrangers.com/sports/womens-basketball,190,Drew,NA,NJ,Landmark,III
Drexel,Drexel,drexelwbb,https://drexeldragons.com/sports/womens-basketball,191,Drexel,NA,PA,CAA,I
Dubuque,Dubuque,UD_WBB,https://udspartans.com/sports/womens-basketball,192,NA,NA,IA,American Rivers,III
Duke,Duke,dukewbb,https://goduke.com/sports/womens-basketball,193,Duke,NA,NC,ACC,I
Duquesne,Duquesne,duqwbb,https://goduquesne.com/sports/womens-basketball,194,Duquesne,NA,PA,Atlantic 10,I
Earlham,Earlham,EarlhamWBB,https://goearlham.com/sports/womens-basketball,195,Earlham,NA,IN,HCAC,III
East Carolina,East Carolina,ECUWBB,https://ecupirates.com/sports/womens-basketball,196,East Carolina,NA,NC,AAC,I
East Stroudsburg,East Stroudsburg,ESU_WBB,https://esuwarriors.com/sports/womens-basketball,197,East Stroudsburg,NA,PA,PSAC,II
East Tennessee State,ETSU,etsu_wbb,https://www.etsubucs.com/wbasketball,198,Etsu,NA,TN,SoCon,I
Tex. A&M-Commerce,E Texas A&M,Lion_WBB,https://lionathletics.com/sports/womens-basketball,199,NA,NA,TX,Southland,I
Eastern Conn. St.,Eastern Conn. St.,EasternWBB,https://gowarriorathletics.com/sports/womens-basketball,200,NA,NA,CT,Little East,III
Eastern Illinois,E Illinois,eiuwbb,https://eiupanthers.com/sports/womens-basketball,201,Eastern Ill.,NA,IL,OVC,I
Eastern Kentucky,E Kentucky,ekuwbb,https://ekusports.com/sports/womens-basketball,202,Eastern Ky.,NA,KY,ASUN,I
East. Mennonite,East. Mennonite,emu_wbb,https://www.emuroyals.com/sports/wbkb/index,203,NA,NA,VA,ODAC,III
