team_id,team_short_display_name,off_mahal_mean,off_mahal_median,off_mahal_sd,off_mahal_max,off_gen_var_ratio,def_mahal_mean,def_mahal_median,def_mahal_sd,def_mahal_max,def_gen_var_ratio,n_wins,conference_short_name,conf_tier,off_def_gap,total_mahal
112358,Long Island,4.5419814795532485,3.5619276112391005,4.688102096396542,19.447679909470224,0.15833621710669393,4.151957200115241,2.8394428716251205,3.5464554680882343,11.070735517644932,0.819512524128214,17,NEC,Mid/Low Major,0.3900242794380073,8.69393867966849
2348,Louisiana Tech,4.2148348157372,4.041276777994778,2.441540334536477,11.371722146012203,0.22286105808806253,4.451264624078083,4.147021637539747,2.8347727843686794,13.353163968169204,1.1124902078143548,21,C-USA,Mid/Low Major,-0.23642980834088245,8.666099439815284
279,Pacific,4.799197443387862,4.3931344814773174,1.8035901465666542,8.22089380756146,0.612338135228476,3.802819306515741,1.8996416823331994,3.995856643691024,11.102992446791047,0.19516230463792117,11,NA,NA,0.9963781368721207,8.602016749903603
2239,Fullerton,2.92093802518779,2.360519831630827,1.8362172863757493,7.085951325525753,0.04336535847076897,5.668781343056001,5.539408344178213,3.8724074891350346,18.687786451167725,3.2279048464268145,16,NA,NA,-2.7478433178682105,8.589719368243792
9,Arizona St,4.379344450473495,4.485455990976742,2.213110139922467,11.478041527288312,0.31961413646017256,4.171609440840645,3.2545235510126624,3.7030148482786958,17.83859666815579,0.9569480446518499,22,NA,NA,0.20773500963284963,8.55095389131414
2306,Kansas St,4.572870790906892,4.615920346941324,2.376251490457635,9.868323011203763,0.3389444573530265,3.966227811891645,3.6824262535830496,2.4742967850077924,8.811343302657585,0.3861575774131896,15,NA,NA,0.606642979015247,8.539098602798537
2635,Tennessee Tech,4.204444039796362,3.944626715679258,2.1891096921885445,8.442122346764972,0.3266821636226481,4.325981705905818,2.6580725159468095,5.440488155426691,22.675274185627234,0.5768175303112902,14,OVC,Mid/Low Major,-0.1215376661094556,8.53042574570218
2217,Fairfield,3.821588946703399,2.656736478301444,3.866658827832342,18.009822656088545,0.17001190246344436,4.701491196501919,3.9189264019928647,4.195448183313344,19.75767581960826,1.520971215804722,24,MAAC,Mid/Low Major,-0.8799022497985196,8.523080143205318
2110,C Arkansas,3.8252951620674014,3.8498438381914255,2.262901643241387,8.019118147096322,0.14600311960705215,4.692498633798717,3.9740963954174235,3.6939503368027173,14.30881520230864,1.3580401315894493,18,NA,NA,-0.8672034717313157,8.517793795866119
276,Marshall,4.567491777697272,4.736899937417953,3.2050286973338613,11.285030740984682,0.6167574270855518,3.9083045225179047,2.6005981294862366,3.6474190383914076,15.825893252322377,0.561514165615777,23,Sun Belt,Mid/Low Major,0.6591872551793676,8.475796300215176
193,Miami OH,4.831079756361175,3.9997733127357558,2.83296859446033,12.520893079230651,0.49471600060992915,3.6327890675732983,3.4348186091889064,2.5206102815864453,7.869389069504054,0.40513631312937387,22,NA,NA,1.198290688787877,8.463868823934474
2473,Oakland,5.034751664570848,3.6812617384756914,3.9038755576933952,13.675088129517569,0.059300174548550605,3.423289531290414,2.3841589637824865,3.0600167161266234,9.771512152325464,0.20956218643271687,10,Horizon,Mid/Low Major,1.6114621332804342,8.458041195861263
