"event","year","team1","team2","team1_score","team2_score","game_date","winner","margin"
"eurobasket",2021,"Serbia","Greece",85,51,"2021-06-18","Serbia",34
"eurobasket",2021,"Bosnia and Herzegovina","Turkey",64,54,"2021-06-18","Bosnia and Herzegovina",10
"eurobasket",2021,"Italy","Montenegro",77,61,"2021-06-18","Italy",16
"eurobasket",2021,"Belgium","Slovenia",92,57,"2021-06-18","Belgium",35
"eurobasket",2021,"Slovakia","Belarus",58,54,"2021-06-18","Slovakia",4
"eurobasket",2021,"Russia","Croatia",73,62,"2021-06-18","Russia",11
"eurobasket",2021,"France","Czech Republic",71,51,"2021-06-18","France",20
"eurobasket",2021,"Spain","Sweden",76,55,"2021-06-18","Spain",21
"eurobasket",2021,"Serbia","Montenegro",87,75,"2021-06-20","Serbia",12
"eurobasket",2021,"Slovenia","Bosnia and Herzegovina",91,81,"2021-06-20","Slovenia",10
"eurobasket",2021,"Belarus","Sweden",78,54,"2021-06-20","Belarus",24
"eurobasket",2021,"Belgium","Turkey",63,61,"2021-06-20","Belgium",2
"eurobasket",2021,"Italy","Greece",77,67,"2021-06-20","Italy",10
"eurobasket",2021,"Croatia","Czech Republic",84,56,"2021-06-20","Croatia",28
"eurobasket",2021,"France","Russia",85,59,"2021-06-20","France",26
"eurobasket",2021,"Spain","Slovakia",93,61,"2021-06-20","Spain",32
"eurobasket",2021,"Sweden","Italy",64,46,"2021-06-21","Sweden",18
"eurobasket",2021,"Bosnia and Herzegovina","Croatia",80,69,"2021-06-21","Bosnia and Herzegovina",11
"eurobasket",2021,"Russia","Slovenia",93,75,"2021-06-21","Russia",18
"eurobasket",2021,"Spain","Montenegro",78,51,"2021-06-21","Spain",27
"eurobasket",2021,"Belarus","Sweden",58,46,"2021-06-23","Belarus",12
"eurobasket",2021,"France","Bosnia and Herzegovina",80,67,"2021-06-23","France",13
"eurobasket",2021,"Belgium","Russia",85,83,"2021-06-23","Belgium",2
"eurobasket",2021,"Serbia","Spain",71,64,"2021-06-23","Serbia",7
"eurobasket",2021,"Bosnia and Herzegovina","Sweden",82,63,"2021-06-26","Bosnia and Herzegovina",19
"eurobasket",2021,"Russia","Spain",78,74,"2021-06-26","Russia",4
"eurobasket",2021,"France","Belarus",73,61,"2021-06-26","France",12
"eurobasket",2021,"Serbia","Belgium",74,73,"2021-06-26","Serbia",1
"eurobasket",2021,"Belgium","Belarus",77,69,"2021-06-27","Belgium",8
"eurobasket",2021,"Serbia","France",63,54,"2021-06-27","Serbia",9
"eurobasketqualifiers",2020,"Bosnia and Herzegovina","Russia",70,69,"2020-11-14","Bosnia and Herzegovina",1
"eurobasketqualifiers",2020,"Romania","Denmark",70,55,"2020-11-14","Romania",15
"eurobasketqualifiers",2020,"Serbia","Turkey",59,56,"2020-11-14","Serbia",3
"eurobasketqualifiers",2020,"Sweden","Israel",77,40,"2020-11-14","Sweden",37
"eurobasketqualifiers",2020,"Great Britain","Poland",75,63,"2020-11-14","Great Britain",12
"eurobasketqualifiers",2020,"Croatia","Latvia",83,65,"2020-11-14","Croatia",18
"eurobasketqualifiers",2020,"Netherlands","Hungary",66,56,"2020-11-14","Netherlands",10
"eurobasketqualifiers",2020,"Switzerland","Estonia",73,63,"2020-11-14","Switzerland",10
"eurobasketqualifiers",2020,"Slovenia","Greece",70,64,"2020-11-14","Slovenia",6
"eurobasketqualifiers",2020,"Czech Republic","Italy",62,52,"2020-11-14","Czech Republic",10
"eurobasketqualifiers",2020,"Belgium","Ukraine",83,66,"2020-11-14","Belgium",17
"eurobasketqualifiers",2020,"Bulgaria","Iceland",84,69,"2020-11-14","Bulgaria",15
"eurobasketqualifiers",2020,"Portugal","Finland",71,48,"2020-11-14","Portugal",23
"eurobasketqualifiers",2020,"Sweden","Montenegro",68,55,"2020-11-17","Sweden",13
"eurobasketqualifiers",2020,"Italy","Denmark",82,72,"2020-11-17","Italy",10
"eurobasketqualifiers",2020,"Turkey","Lithuania",74,51,"2020-11-17","Turkey",23
"eurobasketqualifiers",2020,"Greece","Iceland",89,54,"2020-11-17","Greece",35
"eurobasketqualifiers",2020,"Belgium","Finland",85,58,"2020-11-17","Belgium",27
"eurobasketqualifiers",2020,"Slovenia","Bulgaria",72,64,"2020-11-17","Slovenia",8
"eurobasketqualifiers",2020,"Ukraine","Portugal",72,60,"2020-11-17","Ukraine",12
"eurobasketqualifiers",2020,"Russia","Estonia",96,66,"2020-11-17","Russia",30
"eurobasketqualifiers",2020,"Czech Republic","Italy",60,59,"2020-11-17","Czech Republic",1
"eurobasketqualifiers",2020,"Poland","Great Britain",90,59,"2020-11-17","Poland",31
"eurobasketqualifiers",2020,"Croatia","Germany",93,86,"2020-11-17","Croatia",7
"eurobasketqualifiers",2020,"Bosnia and Herzegovina","Russia",80,61,"2020-11-17","Bosnia and Herzegovina",19
"eurobasketqualifiers",2020,"Hungary","Slovakia",73,59,"2020-11-17","Hungary",14
"eurobasketqualifiers",2020,"Montenegro","Israel",73,66,"2020-11-12","Montenegro",7
"eurobasketqualifiers",2020,"Slovenia","Iceland",94,58,"2020-11-12","Slovenia",36
"eurobasketqualifiers",2020,"Serbia","Lithuania",82,71,"2020-11-12","Serbia",11
"eurobasketqualifiers",2020,"Ukraine","Finland",84,66,"2020-11-12","Ukraine",18
"eurobasketqualifiers",2020,"Russia","Switzerland",98,42,"2020-11-12","Russia",56
"eurobasketqualifiers",2020,"Slovakia","Netherlands",84,64,"2020-11-12","Slovakia",20
"eurobasketqualifiers",2020,"Germany","Latvia",73,67,"2020-11-12","Germany",6
"eurobasketqualifiers",2020,"Greece","Bulgaria",73,66,"2020-11-12","Greece",7
"eurobasketqualifiers",2020,"Belgium","Portugal",59,49,"2020-11-12","Belgium",10
"eurobasketqualifiers",2020,"Bosnia and Herzegovina","Russia",92,54,"2020-11-12","Bosnia and Herzegovina",38
"eurobasketqualifiers",2020,"Czech Republic","Denmark",84,64,"2020-11-12","Czech Republic",20
"eurobasketqualifiers",2020,"Italy","Romania",90,68,"2020-11-12","Italy",22
"eurobasketqualifiers",2020,"Sweden","Israel",90,51,"2020-11-15","Sweden",39
"eurobasketqualifiers",2020,"Bulgaria","Iceland",74,53,"2020-11-15","Bulgaria",21
"eurobasketqualifiers",2020,"Serbia","Turkey",83,76,"2020-11-15","Serbia",7
"eurobasketqualifiers",2020,"Switzerland","Estonia",63,60,"2020-11-15","Switzerland",3
"eurobasketqualifiers",2020,"Netherlands","Hungary",68,63,"2020-11-15","Netherlands",5
"eurobasketqualifiers",2020,"Latvia","Croatia",83,69,"2020-11-15","Latvia",14
"eurobasketqualifiers",2020,"Slovenia","Greece",77,70,"2020-11-15","Slovenia",7
"eurobasketqualifiers",2020,"Great Britain","Poland",77,49,"2020-11-15","Great Britain",28
"eurobasketqualifiers",2020,"Belgium","Ukraine",87,65,"2020-11-15","Belgium",22
"eurobasketqualifiers",2020,"Russia","Bosnia and Herzegovina",72,68,"2020-11-15","Russia",4
"eurobasketqualifiers",2020,"Finland","Portugal",70,62,"2020-11-15","Finland",8
"eurobasketqualifiers",2020,"Denmark","Romania",91,74,"2020-11-15","Denmark",17
"eurobasketqualifiers",2020,"Italy","Czech Republic",69,63,"2020-11-15","Italy",6
"eurobasketqualifiers",2020,"Poland","Belarus",68,56,"2020-11-12","Poland",12
"eurobasketqualifiers",2021,"Bosnia and Herzegovina","Russia",67,62,"2021-02-04","Bosnia and Herzegovina",5
"eurobasketqualifiers",2021,"Poland","Great Britain",67,57,"2021-02-04","Poland",10
"eurobasketqualifiers",2021,"Czech Republic","Italy",100,52,"2021-02-04","Czech Republic",48
"eurobasketqualifiers",2021,"Russia","Estonia",79,35,"2021-02-04","Russia",44
"eurobasketqualifiers",2021,"Croatia","Germany",80,66,"2021-02-04","Croatia",14
"eurobasketqualifiers",2021,"Turkey","Lithuania",67,55,"2021-02-04","Turkey",12
"eurobasketqualifiers",2021,"Belgium","Finland",82,47,"2021-02-04","Belgium",35
"eurobasketqualifiers",2021,"Slovenia","Bulgaria",71,66,"2021-02-04","Slovenia",5
"eurobasketqualifiers",2021,"Montenegro","Sweden",69,67,"2021-02-04","Montenegro",2
"eurobasketqualifiers",2021,"Hungary","Slovakia",65,57,"2021-02-04","Hungary",8
"eurobasketqualifiers",2021,"Italy","Denmark",101,55,"2021-02-04","Italy",46
"eurobasketqualifiers",2021,"Ukraine","Portugal",87,58,"2021-02-04","Ukraine",29
"eurobasketqualifiers",2021,"Greece","Iceland",95,58,"2021-02-04","Greece",37
"eurobasketqualifiers",2021,"Bosnia and Herzegovina","Russia",78,52,"2021-02-07","Bosnia and Herzegovina",26
"eurobasketqualifiers",2021,"Belarus","Poland",80,49,"2021-02-07","Belarus",31
"eurobasketqualifiers",2021,"Czech Republic","Denmark",84,63,"2021-02-07","Czech Republic",21
"eurobasketqualifiers",2021,"Russia","Switzerland",103,47,"2021-02-07","Russia",56
"eurobasketqualifiers",2021,"Serbia","Lithuania",96,61,"2021-02-07","Serbia",35
"eurobasketqualifiers",2021,"Ukraine","Finland",91,75,"2021-02-07","Ukraine",16
"eurobasketqualifiers",2021,"Slovenia","Iceland",96,59,"2021-02-07","Slovenia",37
"eurobasketqualifiers",2021,"Slovakia","Netherlands",61,50,"2021-02-07","Slovakia",11
"eurobasketqualifiers",2021,"Latvia","Germany",78,57,"2021-02-07","Latvia",21
"eurobasketqualifiers",2021,"Montenegro","Israel",78,52,"2021-02-07","Montenegro",26
"eurobasketqualifiers",2021,"Italy","Romania",81,66,"2021-02-07","Italy",15
"eurobasketqualifiers",2021,"Belgium","Portugal",69,66,"2021-02-07","Belgium",3
"eurobasketqualifiers",2021,"Greece","Bulgaria",73,55,"2021-02-07","Greece",18
"europesmallcountries",2016,"Ireland","Wales",84,43,"2016-06-29","Ireland",41
"europesmallcountries",2016,"Andorra","Gibraltar",54,48,"2016-06-28","Andorra",6
"europesmallcountries",2016,"Ireland","Moldova",77,53,"2016-06-28","Ireland",24
"europesmallcountries",2016,"Malta","Andorra",67,42,"2016-06-29","Malta",25
"europesmallcountries",2016,"Moldova","Wales",67,52,"2016-06-30","Moldova",15
"europesmallcountries",2016,"Malta","Gibraltar",76,29,"2016-06-30","Malta",47
"europesmallcountries",2016,"Andorra","Wales",55,48,"2016-07-01","Andorra",7
"europesmallcountries",2016,"Moldova","Gibraltar",75,49,"2016-07-01","Moldova",26
"europesmallcountries",2016,"Malta","Moldova",90,30,"2016-07-02","Malta",60
"europesmallcountries",2016,"Ireland","Andorra",86,45,"2016-07-02","Ireland",41
"europesmallcountries",2016,"Gibraltar","Wales",61,47,"2016-07-03","Gibraltar",14
"europesmallcountries",2016,"Moldova","Andorra",66,50,"2016-07-03","Moldova",16
"europesmallcountries",2016,"Malta","Ireland",67,59,"2016-07-03","Malta",8
"europesmallcountries",2018,"Denmark","Malta",96,58,"2018-06-26","Denmark",38
"europesmallcountries",2018,"Luxembourg","Cyprus",71,49,"2018-06-26","Luxembourg",22
"europesmallcountries",2018,"Norway","Ireland",73,62,"2018-06-26","Norway",11
"europesmallcountries",2018,"Gibraltar","Moldova",70,64,"2018-06-26","Gibraltar",6
"europesmallcountries",2018,"Norway","Cyprus",56,54,"2018-06-27","Norway",2
"europesmallcountries",2018,"Denmark","Gibraltar",116,33,"2018-06-27","Denmark",83
"europesmallcountries",2018,"Luxembourg","Ireland",70,47,"2018-06-27","Luxembourg",23
"europesmallcountries",2018,"Malta","Moldova",122,32,"2018-06-27","Malta",90
"europesmallcountries",2018,"Luxembourg","Norway",66,39,"2018-06-28","Luxembourg",27
"europesmallcountries",2018,"Denmark","Moldova",146,35,"2018-06-28","Denmark",111
"europesmallcountries",2018,"Ireland","Cyprus",73,54,"2018-06-28","Ireland",19
"europesmallcountries",2018,"Malta","Gibraltar",71,32,"2018-06-28","Malta",39
"europesmallcountries",2018,"Cyprus","Gibraltar",100,47,"2018-06-30","Cyprus",53
"europesmallcountries",2018,"Ireland","Moldova",102,28,"2018-06-30","Ireland",74
"europesmallcountries",2018,"Denmark","Norway",77,42,"2018-06-30","Denmark",35
"europesmallcountries",2018,"Luxembourg","Malta",62,47,"2018-06-30","Luxembourg",15
"europesmallcountries",2018,"Moldova","Gibraltar",68,58,"2018-07-01","Moldova",10
"europesmallcountries",2018,"Cyprus","Ireland",82,75,"2018-07-01","Cyprus",7
"europesmallcountries",2018,"Malta","Norway",67,59,"2018-07-01","Malta",8
"europesmallcountries",2018,"Denmark","Luxembourg",93,59,"2018-07-01","Denmark",34
"europesmallcountries",2021,"Ireland","Andorra",104,33,"2021-07-20","Ireland",71
"europesmallcountries",2021,"Kosovo","Cyprus",70,68,"2021-07-20","Kosovo",2
"europesmallcountries",2021,"Malta","Andorra",79,30,"2021-07-21","Malta",49
"europesmallcountries",2021,"Luxembourg","Kosovo",94,65,"2021-07-21","Luxembourg",29
"europesmallcountries",2021,"Ireland","Malta",78,48,"2021-07-22","Ireland",30
"europesmallcountries",2021,"Luxembourg","Cyprus",90,60,"2021-07-22","Luxembourg",30
"europesmallcountries",2021,"Cyprus","Andorra",87,36,"2021-07-24","Cyprus",51
"europesmallcountries",2021,"Ireland","Kosovo",86,72,"2021-07-24","Ireland",14
"europesmallcountries",2021,"Luxembourg","Malta",89,46,"2021-07-24","Luxembourg",43
"europesmallcountries",2021,"Kosovo","Malta",70,60,"2021-07-25","Kosovo",10
"europesmallcountries",2021,"Luxembourg","Ireland",69,59,"2021-07-25","Luxembourg",10
"melanesiacup",2017,"Solomon Islands","New Caledonia",59,53,"2017-09-27","Solomon Islands",6
"melanesiacup",2017,"Papua New Guinea","Fiji",63,54,"2017-09-27","Papua New Guinea",9
"melanesiacup",2017,"Fiji","Solomon Islands",76,54,"2017-09-28","Fiji",22
"melanesiacup",2017,"Papua New Guinea","New Caledonia",61,48,"2017-09-28","Papua New Guinea",13
"melanesiacup",2017,"Fiji","New Caledonia",55,49,"2017-09-29","Fiji",6
"melanesiacup",2017,"Papua New Guinea","Solomon Islands",105,53,"2017-09-29","Papua New Guinea",52
"oceania",2015,"Australia","New Zealand",61,41,"2015-08-15","Australia",20
"oceania",2015,"Australia","New Zealand",80,63,"2015-08-17","Australia",17
"olympics",2016,"France","Turkey",55,39,"2016-08-06","France",16
"olympics",2016,"Canada","China",90,68,"2016-08-06","Canada",22
"olympics",2016,"Australia","Brazil",84,66,"2016-08-06","Australia",18
"olympics",2016,"Japan","Belarus",77,73,"2016-08-06","Japan",4
"olympics",2016,"USA","Senegal",121,56,"2016-08-07","USA",65
"olympics",2016,"Spain","Serbia",65,59,"2016-08-07","Spain",6
"olympics",2016,"Australia","Turkey",61,56,"2016-08-07","Australia",5
"olympics",2016,"France","Belarus",73,72,"2016-08-07","France",1
"olympics",2016,"USA","Spain",103,63,"2016-08-08","USA",40
"olympics",2016,"Canada","Serbia",71,67,"2016-08-08","Canada",4
"olympics",2016,"Japan","Brazil",82,66,"2016-08-08","Japan",16
"olympics",2016,"China","Senegal",101,64,"2016-08-08","China",37
"olympics",2016,"Australia","France",89,71,"2016-08-09","Australia",18
"olympics",2016,"Belarus","Brazil",65,63,"2016-08-09","Belarus",2
"olympics",2016,"Turkey","Japan",76,62,"2016-08-09","Turkey",14
"olympics",2016,"Spain","China",89,68,"2016-08-10","Spain",21
"olympics",2016,"USA","Serbia",110,84,"2016-08-10","USA",26
"olympics",2016,"Canada","Senegal",68,58,"2016-08-10","Canada",10
"olympics",2016,"Turkey","Belarus",74,71,"2016-08-11","Turkey",3
"olympics",2016,"France","Brazil",74,64,"2016-08-11","France",10
"olympics",2016,"Australia","Japan",92,86,"2016-08-11","Australia",6
"olympics",2016,"Serbia","China",80,72,"2016-08-12","Serbia",8
"olympics",2016,"USA","Canada",81,51,"2016-08-12","USA",30
"olympics",2016,"Spain","Senegal",97,43,"2016-08-12","Spain",54
"olympics",2016,"Australia","Belarus",74,66,"2016-08-13","Australia",8
"olympics",2016,"Turkey","Brazil",79,76,"2016-08-13","Turkey",3
"olympics",2016,"Japan","France",79,71,"2016-08-13","Japan",8
"olympics",2016,"USA","China",105,62,"2016-08-14","USA",43
"olympics",2016,"Serbia","Senegal",95,88,"2016-08-14","Serbia",7
"olympics",2016,"Spain","Canada",73,60,"2016-08-14","Spain",13
"olympics",2016,"Serbia","Australia",73,71,"2016-08-16","Serbia",2
"olympics",2016,"Spain","Turkey",64,62,"2016-08-16","Spain",2
"olympics",2016,"USA","Japan",110,64,"2016-08-16","USA",46
"olympics",2016,"France","Canada",68,63,"2016-08-16","France",5
"olympics",2016,"Spain","Serbia",68,54,"2016-08-18","Spain",14
"olympics",2016,"USA","France",86,67,"2016-08-18","USA",19
"olympics",2016,"Serbia","France",70,63,"2016-08-20","Serbia",7
"olympics",2016,"USA","Spain",101,72,"2016-08-20","USA",29
"olympics",2021,"Spain","Korea",73,69,"2021-07-26","Spain",4
"olympics",2021,"Serbia","Canada",72,68,"2021-07-26","Serbia",4
"olympics",2021,"Japan","France",74,70,"2021-07-27","Japan",4
"olympics",2021,"USA","Nigeria",81,72,"2021-07-27","USA",9
"olympics",2021,"Belgium","Australia",85,70,"2021-07-27","Belgium",15
"olympics",2021,"China","Puerto Rico",97,55,"2021-07-27","China",42
"olympics",2021,"Canada","Korea",74,53,"2021-07-29","Canada",21
"olympics",2021,"Spain","Serbia",85,70,"2021-07-29","Spain",15
"olympics",2021,"Belgium","Puerto Rico",87,52,"2021-07-30","Belgium",35
"olympics",2021,"USA","Japan",86,69,"2021-07-30","USA",17
"olympics",2021,"France","Nigeria",87,62,"2021-07-30","France",25
"olympics",2021,"China","Australia",76,74,"2021-07-30","China",2
"olympics",2021,"Spain","Canada",76,66,"2021-08-01","Spain",10
"olympics",2021,"Serbia","Korea",65,61,"2021-08-01","Serbia",4
"olympics",2021,"Japan","Nigeria",102,83,"2021-08-02","Japan",19
"olympics",2021,"USA","France",93,82,"2021-08-02","USA",11
"olympics",2021,"China","Belgium",74,62,"2021-08-02","China",12
"olympics",2021,"Australia","Puerto Rico",96,69,"2021-08-02","Australia",27
"olympics",2021,"Serbia","China",77,70,"2021-08-04","Serbia",7
"olympics",2021,"USA","Australia",79,55,"2021-08-04","USA",24
"olympics",2021,"Japan","Belgium",86,85,"2021-08-04","Japan",1
"olympics",2021,"France","Spain",67,64,"2021-08-04","France",3
"olympics",2021,"USA","Serbia",79,59,"2021-08-06","USA",20
"olympics",2021,"Japan","France",87,71,"2021-08-06","Japan",16
"olympics",2021,"France","Serbia",91,76,"2021-08-07","France",15
"olympics",2021,"USA","Japan",90,75,"2021-08-08","USA",15
"pacificgames",2019,"Fiji","Cook Islands",71,69,"2019-07-08","Fiji",2
"pacificgames",2019,"Samoa","New Caledonia",106,64,"2019-07-08","Samoa",42
"pacificgames",2019,"Guam","Papua New Guinea",84,48,"2019-07-09","Guam",36
"pacificgames",2019,"American Samoa","Tahiti",85,61,"2019-07-09","American Samoa",24
"pacificgames",2019,"Fiji","New Caledonia",82,40,"2019-07-10","Fiji",42
"pacificgames",2019,"Samoa","Cook Islands",71,67,"2019-07-10","Samoa",4
"pacificgames",2019,"Tahiti","Papua New Guinea",70,66,"2019-07-11","Tahiti",4
"pacificgames",2019,"American Samoa","Guam",85,76,"2019-07-11","American Samoa",9
"pacificgames",2019,"Cook Islands","New Caledonia",89,37,"2019-07-12","Cook Islands",52
"pacificgames",2019,"Fiji","Samoa",65,45,"2019-07-12","Fiji",20
"pacificgames",2019,"Guam","Tahiti",72,63,"2019-07-13","Guam",9
"pacificgames",2019,"American Samoa","Papua New Guinea",100,41,"2019-07-13","American Samoa",59
"pacificgames",2019,"Papua New Guinea","New Caledonia",60,45,"2019-07-15","Papua New Guinea",15
"pacificgames",2019,"Samoa","Tahiti",84,70,"2019-07-15","Samoa",14
"pacificgames",2019,"Guam","Cook Islands",67,66,"2019-07-15","Guam",1
"pacificgames",2019,"Tahiti","Cook Islands",71,70,"2019-07-16","Tahiti",1
"pacificgames",2019,"American Samoa","Samoa",83,49,"2019-07-16","American Samoa",34
"pacificgames",2019,"Fiji","Guam",87,51,"2019-07-16","Fiji",36
"pacificgames",2019,"Samoa","Guam",87,85,"2019-07-17","Samoa",2
"pacificgames",2019,"American Samoa","Fiji",74,53,"2019-07-17","American Samoa",21
"polynesiacup",2018,"Tahiti","American Samoa",106,32,"2018-11-19","Tahiti",74
"polynesiacup",2018,"Cook Islands","Samoa",80,47,"2018-11-19","Cook Islands",33
"polynesiacup",2018,"Cook Islands","Tahiti",53,35,"2018-11-20","Cook Islands",18
"polynesiacup",2018,"Samoa","American Samoa",89,35,"2018-11-19","Samoa",54
"polynesiacup",2018,"Cook Islands","American Samoa",92,27,"2018-11-21","Cook Islands",65
"polynesiacup",2018,"Tahiti","Samoa",76,53,"2018-11-21","Tahiti",23
"polynesiacup",2018,"Cook Islands","American Samoa",92,44,"2018-11-23","Cook Islands",48
"polynesiacup",2018,"Tahiti","Samoa",91,75,"2018-11-23","Tahiti",16
"polynesiacup",2018,"Samoa","American Samoa",70,53,"2018-11-24","Samoa",17
"polynesiacup",2018,"Cook Islands","Tahiti",91,58,"2018-11-24","Cook Islands",33
"southamerican",2016,"Colombia","Chile",79,38,"2016-05-20","Colombia",41
"southamerican",2016,"Brazil","Uruguay",115,42,"2016-05-20","Brazil",73
"southamerican",2016,"Paraguay","Uruguay",62,56,"2016-05-21","Paraguay",6
"southamerican",2016,"Argentina","Ecuador",71,35,"2016-05-21","Argentina",36
"southamerican",2016,"Brazil","Chile",104,54,"2016-05-21","Brazil",50
"southamerican",2016,"Venezuela","Peru",82,52,"2016-05-21","Venezuela",30
"southamerican",2016,"Paraguay","Chile",83,69,"2016-05-22","Paraguay",14
"southamerican",2016,"Brazil","Colombia",76,55,"2016-05-22","Brazil",21
"southamerican",2016,"Argentina","Peru",89,15,"2016-05-22","Argentina",74
"southamerican",2016,"Venezuela","Ecuador",91,46,"2016-05-22","Venezuela",45
"southamerican",2016,"Chile","Uruguay",68,53,"2016-05-23","Chile",15
"southamerican",2016,"Ecuador","Peru",85,57,"2016-05-23","Ecuador",28
"southamerican",2016,"Colombia","Paraguay",92,58,"2016-05-23","Colombia",34
"southamerican",2016,"Venezuela","Argentina",71,67,"2016-05-23","Venezuela",4
"southamerican",2016,"Colombia","Uruguay",83,42,"2016-05-24","Colombia",41
"southamerican",2016,"Brazil","Paraguay",128,35,"2016-05-24","Brazil",93
"southamerican",2016,"Paraguay","Ecuador",72,52,"2016-05-25","Paraguay",20
"southamerican",2016,"Brazil","Argentina",73,57,"2016-05-25","Brazil",16
"southamerican",2016,"Venezuela","Colombia",67,59,"2016-05-25","Venezuela",8
"southamerican",2016,"Colombia","Argentina",59,55,"2016-05-26","Colombia",4
"southamerican",2016,"Brazil","Venezuela",94,75,"2016-05-26","Brazil",19
"southamerican",2018,"Paraguay","Chile",73,66,"2018-08-26","Paraguay",7
"southamerican",2018,"Argentina","Ecuador",74,41,"2018-08-26","Argentina",33
"southamerican",2018,"Brazil","Venezuela",77,42,"2018-08-26","Brazil",35
"southamerican",2018,"Colombia","Peru",84,28,"2018-08-26","Colombia",56
"southamerican",2018,"Brazil","Paraguay",100,75,"2018-08-27","Brazil",25
"southamerican",2018,"Argentina","Peru",78,33,"2018-08-27","Argentina",45
"southamerican",2018,"Venezuela","Chile",77,60,"2018-08-27","Venezuela",17
"southamerican",2018,"Colombia","Ecuador",75,39,"2018-08-27","Colombia",36
"southamerican",2018,"Paraguay","Venezuela",81,73,"2018-08-28","Paraguay",8
"southamerican",2018,"Ecuador","Peru",58,51,"2018-08-28","Ecuador",7
"southamerican",2018,"Brazil","Chile",99,66,"2018-08-28","Brazil",33
"southamerican",2018,"Argentina","Colombia",67,61,"2018-08-28","Argentina",6
"southamerican",2018,"Venezuela","Peru",76,62,"2018-09-03","Venezuela",14
"southamerican",2018,"Ecuador","Chile",68,61,"2018-09-03","Ecuador",7
"southamerican",2018,"Argentina","Paraguay",80,67,"2018-09-03","Argentina",13
"southamerican",2018,"Brazil","Colombia",67,58,"2018-09-03","Brazil",9
"southamerican",2018,"Chile","Peru",80,70,"2018-09-04","Chile",10
"southamerican",2018,"Venezuela","Ecuador",85,60,"2018-09-04","Venezuela",25
"southamerican",2018,"Colombia","Paraguay",83,78,"2018-09-04","Colombia",5
"southamerican",2018,"Argentina","Brazil",65,64,"2018-09-04","Argentina",1
"u14cocaba",2019,"Costa Rica","El Salvador",56,38,"2019-11-06","Costa Rica",18
"u14cocaba",2019,"Panama","Nicaragua",72,52,"2019-11-06","Panama",20
"u14cocaba",2019,"Guatemala","Panama",49,35,"2019-11-07","Guatemala",14
"u14cocaba",2019,"El Salvador","Nicaragua",52,35,"2019-11-07","El Salvador",17
"u14cocaba",2019,"Costa Rica","Panama",47,38,"2019-11-08","Costa Rica",9
"u14cocaba",2019,"Nicaragua","Guatemala",54,52,"2019-11-08","Nicaragua",2
"u14cocaba",2019,"El Salvador","Panama",54,41,"2019-11-09","El Salvador",13
"u14cocaba",2019,"Costa Rica","Guatemala",51,36,"2019-11-09","Costa Rica",15
"u14cocaba",2019,"Guatemala","El Salvador",51,38,"2019-11-10","Guatemala",13
"u14cocaba",2019,"Nicaragua","Costa Rica",43,42,"2019-11-10","Nicaragua",1
"u15oceania",2018,"Australia","Samoa",111,29,"2018-12-04","Australia",82
"u15oceania",2018,"New Zealand","Papua New Guinea",108,15,"2018-12-04","New Zealand",93
"u15oceania",2018,"Australia","New Zealand",94,34,"2018-12-05","Australia",60
"u15oceania",2018,"Fiji","Papua New Guinea",85,46,"2018-12-05","Fiji",39
"u15oceania",2018,"Australia","Fiji",141,15,"2018-12-06","Australia",126
"u15oceania",2018,"New Zealand","Samoa",65,63,"2018-12-06","New Zealand",2
"u15oceania",2018,"Samoa","Fiji",82,48,"2018-12-06","Samoa",34
"u15oceania",2018,"Australia","Papua New Guinea",155,18,"2018-12-06","Australia",137
"u15oceania",2018,"New Zealand","Fiji",86,27,"2018-12-07","New Zealand",59
"u15oceania",2018,"Samoa","Papua New Guinea",117,37,"2018-12-07","Samoa",80
"u15oceania",2018,"Samoa","Fiji",80,41,"2018-12-08","Samoa",39
"u15oceania",2018,"Australia","New Zealand",110,30,"2018-12-08","Australia",80
"u15southamerican",2018,"Uruguay","Colombia",71,64,"2018-10-29","Uruguay",7
"u15southamerican",2018,"Brazil","Paraguay",68,59,"2018-10-29","Brazil",9
"u15southamerican",2018,"Ecuador","Venezuela",70,44,"2018-10-29","Ecuador",26
"u15southamerican",2018,"Argentina","Chile",60,50,"2018-10-29","Argentina",10
"u15southamerican",2018,"Brazil","Venezuela",69,42,"2018-10-30","Brazil",27
"u15southamerican",2018,"Ecuador","Paraguay",64,60,"2018-10-30","Ecuador",4
"u15southamerican",2018,"Argentina","Colombia",62,44,"2018-10-30","Argentina",18
"u15southamerican",2018,"Chile","Uruguay",73,56,"2018-10-30","Chile",17
"u15southamerican",2018,"Brazil","Ecuador",62,55,"2018-10-31","Brazil",7
"u15southamerican",2018,"Argentina","Uruguay",58,56,"2018-10-31","Argentina",2
"u15southamerican",2018,"Paraguay","Venezuela",65,49,"2018-10-31","Paraguay",16
"u15southamerican",2018,"Chile","Colombia",60,57,"2018-10-31","Chile",3
"u15southamerican",2018,"Colombia","Paraguay",70,54,"2018-11-02","Colombia",16
"u15southamerican",2018,"Uruguay","Venezuela",74,56,"2018-11-02","Uruguay",18
"u15southamerican",2018,"Ecuador","Argentina",62,51,"2018-11-02","Ecuador",11
"u15southamerican",2018,"Chile","Brazil",60,55,"2018-11-02","Chile",5
"u15southamerican",2018,"Paraguay","Venezuela",86,49,"2018-11-03","Paraguay",37
"u15southamerican",2018,"Colombia","Uruguay",64,40,"2018-11-03","Colombia",24
