country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
Belarus,Turkey,71,74,1108,10,Anastasiya Verameyenka,32:12,10,5/9,5/8,0/1,0/0,1,4,5,7,3,0,1,1,4,20
Belarus,Turkey,71,74,1108,11,Yelena Leuchanka,23:47,8,4/9,4/9,0/0,0/0,1,9,10,1,5,5,0,0,-12,9
Belarus,Turkey,71,74,1108,12,Lindsey Harding,37:50,17,7/13,6/11,1/2,2/3,2,0,2,4,1,2,0,0,-2,14
Belarus,Turkey,71,74,1108,13,Tatyana Troina,24:01,10,3/9,1/4,2/5,2/2,0,6,6,0,4,1,0,0,2,9
Turkey,Belarus,74,71,1108,4,Olcay Cakir,20:54,5,2/4,2/3,0/1,1/2,0,1,1,3,2,0,1,2,8,9
Turkey,Belarus,74,71,1108,7,Birsel Vardarli Demirmen,35:27,4,2/7,2/5,0/2,0/0,2,4,6,7,3,1,1,0,-2,12
Turkey,Belarus,74,71,1108,9,Bahar Caglar,09:23,4,2/5,2/5,0/0,0/0,0,0,0,1,1,0,0,0,-6,2
Turkey,Belarus,74,71,1108,10,Isil Alben,23:32,7,2/6,2/4,0/2,3/4,1,4,5,3,1,0,1,0,0,11
Turkey,Belarus,74,71,1108,11,Nevriye Yilmaz,40:00,26,10/20,7/14,3/6,3/3,1,2,3,2,2,2,1,0,3,20
Turkey,Belarus,74,71,1108,12,Lara Sanders,40:00,22,8/14,8/14,0/0,6/9,1,10,11,3,2,3,3,1,3,28
Turkey,Belarus,74,71,1108,13,Ayse Cora,00:07,0,0/0,0/0,0/0,0/0,0,1,1,0,0,0,0,0,0,1
Turkey,Belarus,74,71,1108,33,Sebnem Nezahat Kimyacioglu,30:37,6,2/5,0/0,2/5,0/0,0,0,0,2,4,0,1,0,9,6
France,Brazil,74,64,1108,4,Isabelle Yacoubou,19:30,10,4/7,4/7,0/0,2/2,1,3,4,1,4,1,0,1,6,12
France,Brazil,74,64,1108,5,Endy Miyem,27:05,10,4/7,2/5,2/2,0/0,1,3,4,3,2,1,0,1,6,14
France,Brazil,74,64,1108,7,Sandrine Gruda,25:49,17,8/14,8/14,0/0,1/2,1,9,10,0,1,2,1,1,6,20
France,Brazil,74,64,1108,10,Sarah Michel,09:45,0,0/3,0/1,0/2,0/0,1,0,1,5,2,2,0,0,-5,1
France,Brazil,74,64,1108,11,Valeriane Ayayi,22:20,5,2/6,1/3,1/3,0/0,0,4,4,1,2,1,1,0,6,6
France,Brazil,74,64,1108,12,Gaelle Skrela,27:52,18,7/10,3/3,4/7,0/0,0,2,2,2,1,3,1,0,16,17
France,Brazil,74,64,1108,16,Hélèna Ciak,03:48,0,0/0,0/0,0/0,0/0,0,0,0,0,1,0,1,0,0,1
France,Brazil,74,64,1108,17,Marine Johannes,02:23,0,0/0,0/0,0/0,0/0,0,1,1,0,0,0,0,0,-1,1
France,Brazil,74,64,1108,20,Amel Bouderra,14:12,3,1/4,0/0,1/4,0/0,1,1,2,2,2,1,1,0,-3,4
France,Brazil,74,64,1108,21,Laetitia Kamba,17:40,5,2/3,1/2,1/1,0/0,1,0,1,1,3,0,1,0,4,7
France,Brazil,74,64,1108,22,Olivia Epoupa,25:48,6,3/8,3/7,0/1,0/0,1,3,4,7,3,3,2,0,13,11
France,Brazil,74,64,1108,25,Marielle Amant,03:48,0,0/1,0/1,0/0,0/0,0,0,0,0,3,1,0,0,2,-2
Brazil,France,64,74,1108,4,Adriana Moises,22:07,0,0/0,0/0,0/0,0/0,0,0,0,5,2,2,0,0,-15,3
Brazil,France,64,74,1108,6,Joice Rodrigues,17:53,3,0/2,0/2,0/0,3/6,0,1,1,5,3,5,0,0,5,-1
Brazil,France,64,74,1108,7,Palmira Marcal,03:44,4,1/2,1/2,0/0,2/2,0,0,0,0,0,0,0,0,3,3
Brazil,France,64,74,1108,8,Iziane Castro,36:16,6,1/13,1/8,0/5,4/6,1,3,4,5,1,1,0,0,-13,0
Brazil,France,64,74,1108,11,Clarissa Santos,40:00,16,5/9,5/8,0/1,6/7,3,7,10,2,3,6,2,0,-10,19
Brazil,France,64,74,1108,12,Damiris Dantas,40:00,21,8/13,5/9,3/4,2/2,0,4,4,1,0,2,3,0,-10,22
Brazil,France,64,74,1108,14,Érika Souza,33:29,12,6/11,6/11,0/0,0/1,0,5,5,0,3,1,2,2,-8,14
Brazil,France,64,74,1108,15,Kelly Santos,06:31,2,0/0,0/0,0/0,2/2,0,0,0,0,1,0,0,0,-2,2
Japan,Australia,86,92,1108,4,Kaede Kondo,09:55,0,0/1,0/1,0/0,0/0,0,0,0,1,1,0,0,0,-1,0
