country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
Argentina,Uruguay,58,56,3110,8,Milagros Maza,28:16,6,2/9,1/5,1/4,1/2,1,3,4,1,2,5,4,0,-6,2
Argentina,Uruguay,58,56,3110,9,Kiana Ferreyra,16:01,4,1/8,1/3,0/5,2/2,1,4,5,0,2,0,0,0,0,2
Argentina,Uruguay,58,56,3110,10,Federica Del Bosco,34:45,16,6/9,5/8,1/1,3/5,0,7,7,2,2,2,0,2,-3,20
Argentina,Uruguay,58,56,3110,11,Agustina Marin,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Argentina,Uruguay,58,56,3110,12,Paloma Alevatto,26:22,14,5/7,4/6,1/1,3/8,1,3,4,3,2,0,2,0,0,16
Argentina,Uruguay,58,56,3110,13,Lucia Sampietro,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Argentina,Uruguay,58,56,3110,14,Natalia Tondi,36:31,11,4/15,3/9,1/6,2/2,2,3,5,3,4,4,2,0,4,6
Argentina,Uruguay,58,56,3110,15,Julieta Tubio,07:52,2,1/2,1/2,0/0,0/0,1,1,2,0,0,1,0,0,3,2
Uruguay,Argentina,56,58,3110,0,Pierina Rossi,26:07,7,3/7,2/4,1/3,0/0,1,6,7,1,4,6,0,0,3,5
Uruguay,Argentina,56,58,3110,3,Lucia Auza,16:51,1,0/3,0/1,0/2,1/4,0,4,4,1,3,1,0,0,18,-1
Uruguay,Argentina,56,58,3110,4,Cecilia Ladra,00:19,0,0/1,0/0,0/1,0/0,0,0,0,0,0,0,0,0,-2,-1
Uruguay,Argentina,56,58,3110,5,Giuliana Pérez,04:53,0,0/0,0/0,0/0,0/0,0,1,1,0,0,0,0,0,4,1
Uruguay,Argentina,56,58,3110,6,Camila Mazzariello,13:27,2,1/2,1/2,0/0,0/0,1,0,1,0,0,0,0,0,-6,2
Uruguay,Argentina,56,58,3110,8,Carolina Frenandez,35:22,17,5/16,2/7,3/9,4/4,0,5,5,0,4,1,1,0,-5,11
Uruguay,Argentina,56,58,3110,10,Josefina Zeballos,39:12,19,5/17,4/8,1/9,8/9,0,2,2,0,2,7,4,1,-2,6
Uruguay,Argentina,56,58,3110,11,Paula Fernandez,03:04,0,0/0,0/0,0/0,0/0,1,1,2,0,1,0,0,0,-2,2
Uruguay,Argentina,56,58,3110,13,Sofia Sica,08:48,0,0/1,0/0,0/1,0/0,1,1,2,0,1,0,1,0,-4,2
Uruguay,Argentina,56,58,3110,15,Zoé Castro,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Uruguay,Argentina,56,58,3110,23,Maite Pereira,36:35,6,3/10,3/8,0/2,0/0,1,3,4,8,1,4,4,0,-4,11
Uruguay,Argentina,56,58,3110,33,Evangelina Rolon,15:18,4,2/2,2/2,0/0,0/0,2,2,4,0,1,1,0,0,-10,7
Venezuela,Paraguay,49,65,3110,4,Julieth Sivira,09:11,2,1/4,1/1,0/3,0/0,0,0,0,0,1,0,2,0,2,1
Venezuela,Paraguay,49,65,3110,5,Anadilix Diaz,19:26,10,3/11,3/8,0/3,4/4,1,7,8,1,3,3,1,0,-15,9
Venezuela,Paraguay,49,65,3110,6,Floranghel Garcia,32:46,9,4/17,4/12,0/5,1/2,0,5,5,2,1,10,2,0,-18,-6
Venezuela,Paraguay,49,65,3110,7,Arianny Gonzalez,21:10,8,3/7,3/7,0/0,2/4,3,4,7,0,1,4,1,0,-14,6
Venezuela,Paraguay,49,65,3110,8,Luisana Hernandez,22:33,4,2/5,2/4,0/1,0/0,2,8,10,0,2,1,1,3,1,14
Venezuela,Paraguay,49,65,3110,9,Edglimar Montero,27:31,5,2/4,1/3,1/1,0/0,1,6,7,0,4,5,1,0,-12,6
Venezuela,Paraguay,49,65,3110,10,Genesis Almeida,01:08,0,0/0,0/0,0/0,0/0,0,0,0,0,1,1,0,0,0,-1
Venezuela,Paraguay,49,65,3110,11,Ewliz Quintero,29:16,4,0/4,0/2,0/2,4/6,1,2,3,2,1,3,2,1,-19,3
Venezuela,Paraguay,49,65,3110,12,Stefany Ferrer,19:19,7,3/8,2/4,1/4,0/2,0,2,2,1,0,5,2,0,-5,0
Venezuela,Paraguay,49,65,3110,13,Frandiely Yepez,17:34,0,0/0,0/0,0/0,0/0,2,1,3,1,2,2,1,0,0,3
Venezuela,Paraguay,49,65,3110,14,Lusney Parra,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Venezuela,Paraguay,49,65,3110,15,Danielis Ysasis,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Paraguay,Venezuela,65,49,3110,1,Jael Benitez,26:21,7,3/20,2/11,1/9,0/0,1,2,3,4,3,2,3,0,10,-2
Paraguay,Venezuela,65,49,3110,3,Rocio Britos,08:55,1,0/1,0/1,0/0,1/2,1,1,2,0,0,1,0,1,0,1
Paraguay,Venezuela,65,49,3110,4,Sol Piris,12:30,0,0/2,0/2,0/0,0/0,3,0,3,0,0,0,1,0,-3,2
Paraguay,Venezuela,65,49,3110,5,Diana Zalazar,37:07,18,6/13,6/9,0/4,6/6,1,9,10,3,2,5,10,0,18,29
Paraguay,Venezuela,65,49,3110,6,Katherine Vazquez,24:37,13,6/14,5/8,1/6,0/0,0,1,1,1,1,1,4,0,15,10
Paraguay,Venezuela,65,49,3110,7,Ana Paula Doldan,10:37,4,1/3,1/2,0/1,2/2,2,4,6,0,1,2,2,0,6,8
Paraguay,Venezuela,65,49,3110,8,Ana Paula  Saucedo,19:28,5,1/9,0/3,1/6,2/2,3,1,4,1,2,3,2,0,3,1
