country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
Belarus,Spain,53,51,1706,10,Anastasiya Verameyenka,22:25,7,3/8,3/8,0/0,1/2,1,6,7,0,3,2,2,0,4,8
Belarus,Spain,53,51,1706,13,Maryia Papova,34:39,19,7/12,6/9,1/3,4/4,2,11,13,1,3,1,0,0,0,27
Belarus,Spain,53,51,1706,17,Yuliya Vasilevich,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Belarus,Spain,53,51,1706,18,Hanna Brych,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Belarus,Spain,53,51,1706,20,Alexandria Bentley,24:51,13,4/9,4/5,0/4,5/8,0,1,1,4,3,1,0,0,5,9
Belarus,Spain,53,51,1706,21,Viktoryia Hasper,23:04,6,3/7,3/7,0/0,0/0,1,4,5,1,2,3,0,1,3,6
Belarus,Spain,53,51,1706,23,Yanina Inkina,01:29,0,0/0,0/0,0/0,0/0,0,0,0,0,1,1,0,0,-3,-1
Spain,Belarus,51,53,1706,5,Cristina Ouvina,21:19,11,4/11,3/7,1/4,2/2,1,2,3,1,3,2,0,0,-1,6
Spain,Belarus,51,53,1706,6,Silvia Dominguez,19:08,6,2/7,1/6,1/1,1/1,0,5,5,3,1,0,0,0,0,9
Spain,Belarus,51,53,1706,9,Laia Palau,10:53,2,1/3,1/2,0/1,0/0,0,0,0,1,0,0,0,0,-8,1
Spain,Belarus,51,53,1706,11,Leonor Rodriguez,24:47,3,1/10,1/7,0/3,1/2,1,3,4,3,0,2,1,0,-7,-1
Spain,Belarus,51,53,1706,12,Maite Cazorla,09:47,0,0/3,0/1,0/2,0/0,0,0,0,0,4,0,0,0,8,-3
Spain,Belarus,51,53,1706,14,Raquel Carrera,19:04,4,1/5,1/5,0/0,2/3,2,1,3,0,2,1,0,0,-1,1
Spain,Belarus,51,53,1706,18,Queralt Casas,14:39,0,0/4,0/4,0/0,0/0,1,3,4,2,1,1,2,0,-4,3
Spain,Belarus,51,53,1706,20,Paula Ginzo,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
Spain,Belarus,51,53,1706,22,Maria Conde,11:11,0,0/2,0/1,0/1,0/0,0,2,2,2,1,1,0,0,3,1
Spain,Belarus,51,53,1706,24,Laura Gil,34:17,4,2/6,2/6,0/0,0/2,2,8,10,2,4,2,5,1,-5,14
Spain,Belarus,51,53,1706,33,Laura Quevedo,10:43,6,2/4,1/2,1/2,1/1,0,1,1,0,1,0,0,0,7,5
Spain,Belarus,51,53,1706,45,Astou Ndour,24:12,15,6/9,4/7,2/2,1/2,3,2,5,0,1,1,0,0,-2,15
Greece,Serbia,51,85,1806,4,Anna Stamolamprou,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
