country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
Cook Islands,Tahiti,91,58,2411,18,Jordina  Katu,19:28,4,2/4,2/4,0/0,0/2,2,5,7,0,2,0,0,0,16,7
Tahiti,Cook Islands,58,91,2411,5,Aeata Oceana Hana Tepu,29:16,6,1/7,0/4,1/3,3/4,1,4,5,4,4,1,1,0,-31,8
Tahiti,Cook Islands,58,91,2411,6,Hereiti Salem,14:23,5,1/3,0/1,1/2,2/2,0,3,3,0,1,2,0,0,-1,4
Tahiti,Cook Islands,58,91,2411,7,Hinearii Eketa Teriierooiterai,13:40,3,1/5,1/3,0/2,1/2,0,0,0,0,2,2,0,0,-17,-4
Tahiti,Cook Islands,58,91,2411,8,Vainui Tehoiri,10:35,0,0/1,0/1,0/0,0/0,0,1,1,2,2,1,2,0,-12,3
Tahiti,Cook Islands,58,91,2411,9,Mahine Kamakea Tepu,21:48,3,1/4,0/1,1/3,0/0,0,0,0,0,5,2,1,0,-22,-1
Tahiti,Cook Islands,58,91,2411,11,Oceane Julie Poerani Lefranc,33:07,16,5/17,5/16,0/1,6/12,5,5,10,2,0,6,1,0,-24,5
Tahiti,Cook Islands,58,91,2411,12,Maea Lextreyt,29:59,15,6/12,3/8,3/4,0/2,0,4,4,2,2,1,1,0,-23,13
Tahiti,Cook Islands,58,91,2411,13,Pitoura Lucie Matohil,18:11,7,3/3,3/3,0/0,1/2,1,0,1,0,1,2,0,0,-21,5
Tahiti,Cook Islands,58,91,2411,14,Rosa Manaha Tuhiata Mariteragi,24:31,1,0/6,0/2,0/4,1/2,1,2,3,0,4,3,0,0,-14,-6
Tahiti,Cook Islands,58,91,2411,15,Temana Jamie Desirie Teururai,04:22,2,1/1,1/1,0/0,0/0,1,1,2,0,3,0,0,0,0,4
