team_id,team,group,fix_count,total,no_hs,csv_hs_26,hs_25,payload_hs,roster_flavor,nuxt,note
320,John Carroll,site_publishes_none,,20,7,13,22,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
323,Johnson C. Smith,site_publishes_none,,14,12,2,8,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
333,Ky. Wesleyan,genuine_gap,,14,1,13,15,0,oas_card,False,site publishes HS on bios for some players; sampled missing player had none
370,Loyola Marymount,site_publishes_none,,14,1,13,0,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
39,Augusta,site_publishes_none,,14,14,0,0,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
394,Marymount (VA),genuine_gap,,17,8,9,13,0,oas_card,False,site publishes HS on bios for some players; sampled missing player had none
40,Augustana (IL),combined_column,,21,19,2,0,0,oas_card,False,1 missing rows have HS-looking values in previous_school
413,MSU Denver,combined_column,,12,2,10,11,0,oas_card,False,1 missing rows have HS-looking values in previous_school
417,Michigan Tech,genuine_gap,,16,1,15,14,0,oas_card,False,site publishes HS on bios for some players; sampled missing player had none
422,Miles,site_publishes_none,,1,1,0,0,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
424,Millikin,genuine_gap,,23,1,22,14,0,oas_card,False,site publishes HS on bios for some players; sampled missing player had none
426,Millsaps,site_publishes_none,,24,12,12,18,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
427,Minn. Duluth,site_publishes_none,,15,1,14,16,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
429,Mississippi College,combined_column,,15,15,0,0,0,oas_card,False,3 missing rows have HS-looking values in previous_school
435,Missouri S&T,site_publishes_none,,18,8,10,15,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
438,Monmouth (IL),site_publishes_none,,12,6,6,15,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
460,UNCW,genuine_gap,,12,1,11,12,0,oas_card,False,site publishes HS on bios for some players; sampled missing player had none
470,New Haven,genuine_gap,,20,3,17,16,0,oas_card,False,site publishes HS on bios for some players; sampled missing player had none
49,Barry,combined_column,,14,14,0,0,0,oas_card,False,5 missing rows have HS-looking values in previous_school
500,Northeastern,site_publishes_none,,13,6,7,10,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
514,Oakland,site_publishes_none,,14,3,11,10,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
515,Oberlin,site_publishes_none,,11,1,10,12,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
533,Pace,genuine_gap,,18,10,8,12,0,oas_card,False,site publishes HS on bios for some players; sampled missing player had none
54,Bemidji St.,genuine_gap,,14,6,8,15,0,oas_card,False,site publishes HS on bios for some players; sampled missing player had none
560,Queens (NY),site_publishes_none,,15,8,7,13,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
565,Randolph-Macon,genuine_gap,,18,7,11,16,0,oas_card,False,site publishes HS on bios for some players; sampled missing player had none
6,Alabama A&M,combined_column,,15,15,0,0,0,oas_card,False,4 missing rows have HS-looking values in previous_school
608,Saint Leo,genuine_gap,,16,1,15,17,0,oas_card,False,site publishes HS on bios for some players; sampled missing player had none
613,Saint Michael's,unmapped_header,,13,1,12,16,0,oas_card,False,unmapped HS-style column: Hometown / High School (Last College)
647,South Carolina St.,combined_column,,19,19,0,0,0,oas_card,False,15 missing rows have HS-looking values in previous_school
1400,Texas Lutheran,genuine_gap,,16,4,12,17,0,oas_card,False,site publishes HS on bios for some players; sampled missing player had none
691,Tennessee St.,genuine_gap,,13,3,10,12,0,oas_card,False,site publishes HS on bios for some players; sampled missing player had none
696,Tex. A&M-Kingsville,site_publishes_none,,13,2,11,12,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
701,Texas Woman's,site_publishes_none,,14,8,6,11,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
748,Wagner,genuine_gap,,15,2,13,13,0,oas_card,False,site publishes HS on bios for some players; sampled missing player had none
772,Western Ky.,unmapped_header,,13,3,10,11,10,person_card,True,unmapped HS-style column: High School/Previous
810,Wright St.,genuine_gap,,14,1,13,12,13,person_card,True,site publishes HS for only 13/14
84,Buena Vista,site_publishes_none,,20,1,19,22,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
8411,Ark.-Monticello,site_publishes_none,,13,1,12,5,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
8744,Southwestern Okla.,combined_column,,12,12,0,0,0,oas_card,False,8 missing rows have HS-looking values in previous_school
8935,Converse,genuine_gap,,19,3,16,14,0,oas_card,False,site publishes HS on bios for some players; sampled missing player had none
8965,East Central,site_publishes_none,,13,7,6,0,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
9012,Mo. Southern St.,combined_column,,15,15,0,0,0,oas_card,False,7 missing rows have HS-looking values in previous_school
929,Adams St.,genuine_gap,,14,8,6,12,0,oas_card,False,site publishes HS on bios for some players; sampled missing player had none
947,Arkansas Tech,combined_column,,14,14,0,0,0,oas_card,False,9 missing rows have HS-looking values in previous_school
985,Bluefield St.,combined_column,,16,12,4,18,0,oas_card,False,4 missing rows have HS-looking values in previous_school
30244,Edward Waters,site_publishes_none,,16,1,15,16,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
1097,Ga. Southwestern,genuine_gap,,12,2,10,10,0,oas_card,False,site publishes HS on bios for some players; sampled missing player had none
534,Pacific,genuine_gap,,14,3,11,10,0,oas_card,False,site publishes HS on bios for some players; sampled missing player had none
743,Virginia State,site_publishes_none,,13,1,12,7,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
2696,Hawaii Pacific,site_publishes_none,,17,1,16,15,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
8366,Goldey-Beacom,site_publishes_none,,14,2,12,14,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
9223,North Greenville,bio_page_fixable,,15,15,0,0,0,oas_card,False,missing player's bio page shows: Wando High School
30150,Roberts Wesleyan,site_publishes_none,,13,1,12,14,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
30193,Emmanuel (GA),site_publishes_none,,19,1,18,18,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
10,UAH,combined_column,,14,14,0,5,0,oas_card,False,6 missing rows have HS-looking values in previous_school
13,Albany St. (GA),site_publishes_none,,17,12,5,1,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
437,Molloy,site_publishes_none,,11,3,8,11,0,oas_card,False,"no HS found in roster payload, table headers, or sampled bio"
1176,Lincoln Memorial,genuine_gap,,13,12,1,6,0,oas_card,False,site publishes HS on bios for some players; sampled missing player had none
