college,ncaa_id,college_clean,category
Bethel College,60,Bethel College,College
Bethel High,,Bethel High,Other
Bethel High School,,Bethel High School,Other
Bethesda University,,Bethesda,College
Bethlehem Academy,,Bethlehem Academy,Other
Bethune-Cookman,61,Bethune-Cookman,College
Bethune-Cookman University,61,Bethune-Cookman,College
Big 12 Conference,,Big 12 Conference,Other
BIG Basketball Academy,,BIG Basketball Academy,Other
Big Bend Community College,,Big Bend CC,Community College
Billings RimRockers,,Billings RimRockers,Other
Billings West High School,,Billings West High School,Other
Billy Ryan High School,,Billy Ryan High School,Other
Binghamton,62,Binghamton,College
Binghamton University,62,Binghamton,College
Biola University,30220,Biola,College
Biola,30220,Biola,College
Birmingham Groves HS,,Birmingham Groves HS,Other
Birmingham Southern,28593,Birmingham Southern,College
Birmingham-Southern College,28593,Birmingham-Southern College,College
Bishop Alemany High School,,Bishop Alemany High School,Other
Bishop Ireton High School,,Bishop Ireton High School,Other
Bishop Lynch High School,,Bishop Lynch High School,Other
Bishop Montgomery High School,,Bishop Montgomery High School,Other
Bishop Verot Catholic High School,,Bishop Verot Catholic High School,Other
Black Hills State,30134,Black Hills State,College
Black Hills State University,30134,Black Hills State University,College
Blackburn Vikings Basketball Club,,Blackburn Vikings Basketball Club,Other
Blackheart Basketball,,Blackheart Basketball,Other
Blacksburg High School,,Blacksburg High School,Other
Blanchard High School,,Blanchard High School,Other
Blinn College,,Blinn College,Community College
Bloom Carroll High School,,Bloom Carroll High School,Other
Bloomfield,984,Bloomfield,College
Bloomfield College,984,Bloomfield College,College
Bloomington High School,,Bloomington High School,Other
Bloomsburg,65,Bloomsburg,College
Bloomsburg University,65,Bloomsburg University,College
Blue Star Basketball,,Blue Star Basketball,Other
Blue Valley Northwest High School,,Blue Valley Northwest High School,Other
Bluefield College,,Bluefield College,College
Bluffton University,987,Bluffton University,College
Boise High School,,Boise High School,Other
Boise State,66,Boise State,College
Bolingbrook High School,,Bolingbrook High School,Other
Bonneville High School,,Bonneville High School,Other
