team,team_id,season,jersey,name,position,height,academic_year,hometown,high_school,previous_school,url
Bellarmine,52,2026-27,11,Anna Rodgers,G/F,"5'11""",REDSHIRT SOPHOMORE,"Mt. Washington, KY",Bullitt East,,https://athletics.bellarmine.edu/sports/womens-basketball/roster/anna-rodgers/10201
Bellarmine,52,2026-27,12,Kayce Hyman,F,"5'10""",JUNIOR,"Irmo, SC",Hammond School,,https://athletics.bellarmine.edu/sports/womens-basketball/roster/kayce-hyman/10198
Bellarmine,52,2026-27,13,Haya Abdel Aal,C,"6'4""",SOPHOMORE,"Alexandria, Egypt",Alexandria House of English,,https://athletics.bellarmine.edu/sports/womens-basketball/roster/haya-abdel-aal/10195
Bellarmine,52,2026-27,21,Olivia Pifer,G,"5'4""",SOPHOMORE,"Louisville, KY",Mercy Academy,,https://athletics.bellarmine.edu/sports/womens-basketball/roster/olivia-pifer/10204
Bellarmine,52,2026-27,35,Hana Abdel Aal,C,"6'2""",REDSHIRT SOPHOMORE,"Alexandria, Egypt",Alexandria House of English,,https://athletics.bellarmine.edu/sports/womens-basketball/roster/hana-abdel-aal/10194
Bellarmine,52,2026-27,,Leigha Acoff,G,"5'10""",FRESHMAN,"Cincinnati, OH",Woodward Career Technical,,https://athletics.bellarmine.edu/sports/womens-basketball/roster/leigha-acoff/10673
Bellarmine,52,2026-27,,Emma Holtzapfel,G,"5'11""",FRESHMAN,"Edgewood, KY",Notre Dame Academy,,https://athletics.bellarmine.edu/sports/womens-basketball/roster/emma-holtzapfel/10674
Bellarmine,52,2026-27,,Kellyn Hunter,G,"5'4""",Senior,"Mobile, AL",Faith Academy,Washburn University,https://athletics.bellarmine.edu/sports/womens-basketball/roster/kellyn-hunter/10675
Bellarmine,52,2026-27,,Coumba Keïta,G,"6'1""",Redshirt Freshman,"Stains, AE",Ontario Virtual School,University of Arkansas at Pine Bluff,https://athletics.bellarmine.edu/sports/womens-basketball/roster/coumba-ke-ta/10676
Bellarmine,52,2026-27,,Kaylyn Lelie,G,"5'9""",Junior,"Queens, NY",St. Francis Preparatory School,Monroe University,https://athletics.bellarmine.edu/sports/womens-basketball/roster/kaylyn-lelie/10677
Bellarmine,52,2026-27,,Savannah Rowland,G,"5'7""",Junior,"Ridgecrest, CA",Sherman E. Burroughs,Lemoore College,https://athletics.bellarmine.edu/sports/womens-basketball/roster/savannah-rowland/10678
Bellarmine,52,2026-27,,Tristan Shivers,,"5'4""",FRESHMAN,"Wilmington, NC",John T. Hoggard,,https://athletics.bellarmine.edu/sports/womens-basketball/roster/tristan-shivers/10679
Bellarmine,52,2026-27,,Tacko Sy,C,"6'5""",Sophomore,"Cincinnati, OH",Putnam Science Academy,Chipola College,https://athletics.bellarmine.edu/sports/womens-basketball/roster/tacko-sy/10680
Boston College,67,2026-27,0,Athena Tomlinson,G,5' 5'' ,Junior,"Fresno, Calif.",Clovis West,,https://bceagles.com/sports/womens-basketball/roster/athena-tomlinson/26918
Boston College,67,2026-27,1,Samantha Davis,F,6' 0'' ,Freshman,,Aquinas,,https://bceagles.com/sports/womens-basketball/roster/samantha-davis/27060
Boston College,67,2026-27,3,Natalia Hall-Rosa,G,6' 0'' ,Sophomore,"Randolph, Mass.",The Rivers School,,https://bceagles.com/sports/womens-basketball/roster/natalia-hallrosa/26922
Boston College,67,2026-27,4,Jocelyne Grier,G,5' 8'' ,Sophomore,"Charlotte, N.C.",Winston-Salem Christian,,https://bceagles.com/sports/womens-basketball/roster/jocelyne-grier/26915
Boston College,67,2026-27,10,Nora Arozena,F,6' 2'' ,Freshman,"Azkoitia, Spain","Azkoitia, Gipuzkoa",,https://bceagles.com/sports/womens-basketball/roster/nora-arozena/27146
Boston College,67,2026-27,11,Daniele Paunksnyte,G,5' 10'' ,Freshman,,Vilniaus “Ozo” Gymnasium,,https://bceagles.com/sports/womens-basketball/roster/daniele-paunksnyte/26931
Boston College,67,2026-27,13,Grace Oliver,F,6' 1'' ,Junior,"Norwell, Mass.",Noble & Greenough,,https://bceagles.com/sports/womens-basketball/roster/grace-oliver/26921
Boston College,67,2026-27,14,Eunicia Salgado,F,6' 1'' ,Freshman,"Boucherville, Quebec",Royal Crown School,,https://bceagles.com/sports/womens-basketball/roster/eunicia-salgado/27080
Boston College,67,2026-27,15,Megan Hollingsworth,G,6' 0'' ,Sophomore,"Ottawa, Ontario, Canada",Capital Courts Academy,,https://bceagles.com/sports/womens-basketball/roster/megan-hollingsworth/26932
Boston College,67,2026-27,17,Gabriela Bernal Ortellado,C,6' 3'' ,Freshman,"Asunción, Paraguay",Edison Academics,,https://bceagles.com/sports/womens-basketball/roster/gabriela-bernal-ortellado/27059
Boston College,67,2026-27,23,Nuria Ausaverri,F,6' 1'' ,Freshman,"Madrid, Spain",Maristas San Jose del Parque,,https://bceagles.com/sports/womens-basketball/roster/nuria-ausaverri/27145
Boston College,67,2026-27,33,Eleanor Trout,F,6' 3'' ,R-Fr,"Melbourne, Australia",Templestowe College,,https://bceagles.com/sports/womens-basketball/roster/eleanor-trout/26919
Oregon State,528,2026-27,1,Kennedie Shuler,G,5' 10'',4th,"Gresham, Ore.",,,https://osubeavers.com/sports/womens-basketball/roster/kennedie-shuler/12361
Oregon State,528,2026-27,2,Katelyn Field,G,5' 11'',2nd,"Melbourne, Australia",,,https://osubeavers.com/sports/womens-basketball/roster/katelyn-field/12357
Oregon State,528,2026-27,3,Jenna Villa,G,6' 1'',4th,"Arlington, Wash.",,,https://osubeavers.com/sports/womens-basketball/roster/jenna-villa/12362
Oregon State,528,2026-27,4,Ally Schimel,G,5' 10'',3rd,"Corbett, Ore.",,,https://osubeavers.com/sports/womens-basketball/roster/ally-schimel/12359
Oregon State,528,2026-27,5,Maggie Warpus,F,6' 3'',1st,"Chenango Forks, N.Y.",,,https://osubeavers.com/sports/womens-basketball/roster/maggie-warpus/12363
