ncaa_id,game_id,date,team,opponent,official
51,27646,3/13/2022,Baylor,Texas,Dee Kantner
52,6667,1/12/2022,Bellarmine,Central Ark.,Kyle Thomas
52,6667,1/12/2022,Bellarmine,Central Ark.,Molly McFadden
52,6667,1/12/2022,Bellarmine,Central Ark.,Marla Gearhart
52,6671,1/22/2022,Bellarmine,Jacksonville,Luke Bettencourt
52,6671,1/22/2022,Bellarmine,Jacksonville,Ivan Fulton
52,6671,1/22/2022,Bellarmine,Jacksonville,Cole Womack
52,6810,12/7/2021,Bellarmine,Evansville,Rachel Rayford
52,6810,12/7/2021,Bellarmine,Evansville,Bobby Ray
52,6810,12/7/2021,Bellarmine,Evansville,Ryan Durham
52,6670,1/19/2022,Bellarmine,North Ala.,Hannah Reynolds
52,6670,1/19/2022,Bellarmine,North Ala.,Stacy Lee
52,6670,1/19/2022,Bellarmine,North Ala.,Ryan Durham
52,6666,1/8/2022,Bellarmine,Eastern Ky.,Hannah Reynolds
52,6666,1/8/2022,Bellarmine,Eastern Ky.,Kayla Maxey
52,6666,1/8/2022,Bellarmine,Eastern Ky.,Aaron Brooks
52,6679,2/20/2022,Bellarmine,Jacksonville St.,Luke Bettencourt
52,6679,2/20/2022,Bellarmine,Jacksonville St.,Marla Gearhart
52,6679,2/20/2022,Bellarmine,Jacksonville St.,Royce Blevins
52,6680,2/24/2022,Bellarmine,Lipscomb,Jessyca Christopher
52,6680,2/24/2022,Bellarmine,Lipscomb,Kyle Thomas
52,6680,2/24/2022,Bellarmine,Lipscomb,Nadi Carey
52,6675,2/5/2022,Bellarmine,Kennesaw St.,Jamie Cavileer
52,6675,2/5/2022,Bellarmine,Kennesaw St.,Jessamyn Bradley
52,6675,2/5/2022,Bellarmine,Kennesaw St.,Ryan Durham
52,6674,2/3/2022,Bellarmine,Liberty,Judith Dyehouse
