"team","in_out","player","height","year","position","hometown"
"Hampton","out","Antonia Whorley","6-0","JR","wing","Lynchburg, VA"
"Hawaii","out","Brooke Murrell","6-2","FR","forward","Aurora, CO"
"Hawaii","out","Avery Watkins","6-0","SO","wing","Seattle, WA"
"High Point","out","Bukky Akinsola","5-6","JR","guard","Hillside, NJ"
"High Point","out","Shakira Baskerville","6-1","JR","wing","Clemmons, NC"
"Hofstra","in","Kassidy Thompson","5-10","FR","shooting guard","Mullica Hill, NJ"
"Hofstra","out","Tionna Baker","5-6","JR","point guard","Rocky Face, GA"
"Hofstra","out","Onna Brown","5-11","FR","wing","Portland, OR"
"Hofstra","out","Ja'Miyah Bryant","6-1","JR","forward","Pensacola, FL"
"Hofstra","out","Maniya Custis","5-3","SR","guard","Camden, NJ"
"Hofstra","out","Kayley Joseph-Bernard","6-0","SO","wing","Milton, ON"
"Hofstra","out","Selma Markisic","5-6","RS JR","combo guard","Brooklyn, NY"
"Holy Cross","out","Cara McCormack","5-3","SR","point guard","Smithtown, NY"
"Holy Cross","out","Bronagh Power-Cassidy","5-10","SR","shooting guard","Dublin, Ireland"
"Houston","in","Ashley Chevalier","5-7","SR","point guard","Chatsworth, CA"
"Houston","out","Amari Conn","5-7","SR","guard","Kansas City, MO"
"Houston","out","Djessira Diawara","6-3","JR","center","Bamako, Mali"
"Houston","out","Kamryn Jones","6-1","SR","forward","Magnolia, TX"
"Houston","out","Ash'a Thompson","5-10","SR","wing","DeSoto, TX"
"Houston Christian","in","Kierra Prim","5-9","SR","wing","Overland Park, KS"
"Houston Christian","out","Enya Maguire","5-4","SR","point guard","Belfast, Northern Ireland"
"Howard","out","Te'Keyah Bland","6-1","FR","forward","Pittsboro, NC"
"Howard","out","Kaiya Creek","5-10","SR","wing","Seat Pleasant, MD"
"Howard","out","Aaliyah Frazier","5-7","FR","point guard","Plainfield, IL"
"Howard","out","Taleiyah Gibbs","6-0","FR","shooting guard/wing","Charleston, SC"
"Idaho","in","Tyler McCliment-Call","6-0","SR","guard","Spokane, WA"
"Idaho","in","Olivia Nelson","5-7","RS JR","point guard","Kansas City, MO"
"Idaho","out","Aspen Caldwell","5-7","FR","combo guard","Idaho Falls, ID"
"Idaho","out","Jenna Kilty","5-10","SR","guard","Oakland, CA"
"Idaho","out","Georgia Gray","6-3","JR","forward","Melbourne, Australia"
"Idaho","out","Kennedy Johnson","5-11","JR","combo guard","Hayward, CA"
"Idaho","out","Madelynn Muniz","5-10","FR","guard","Phoenix, AZ"
"Idaho State","out","Laura Bello","6-3","JR","center","Dublin, Ireland"
"Idaho State","out","Madilynn Rendall","6-0","FR","shooting guard/wing","Kennewick, WA"
"Idaho State","out","Ioanna Stefanaki","5-9","FR","shooting guard","Crete, Greece"
"Idaho State","out","Alaina Williams","6-1","FR","forward","Apollo Beach, FL"
"Illinois","out","Samantha Dewey","6-2","SO","forward","North Andover, MA"
"Illinois","out","Camille Jackson","5-11","SO","point guard","Chicago, IL"
"Illinois","out","Aicha Ndour","6-6","SR","center","Somone, Senegal"
"UIC","out","Tara Green","6-3","SR","center","West Helena, AR"
"Illinois State","out","Abbie Aalsma","5-9","SO","guard","Waupun, WI"
"Illinois State","out","Lexi Boles","6-3","JR","forward/center","Des Moines, IA"
"Illinois State","out","Brooke Coffey","6-1","FR","wing","St. Charles, MO"
"Illinois State","out","Molly Lenz","5-8","FR","point guard","Eden Prairie, MN"
"Incarnate Word","out","Aliyah Collins","5-5","SO","point guard","College Station, TX"
"Incarnate Word","out","Nina De Leon Negron","5-6","SR","point guard","San Juan, Puerto Rico"
"Incarnate Word","out","Sophia Griego","5-10","RS FR","shooting guard","Austin, TX"
"Incarnate Word","out","Paloma Simón","5-11","SO","wing","Alcobendas, Madrid, Spain"
"Incarnate Word","out","Destiny Terrell","5-9","SR","wing","Dallas, TX"
"Indiana State","out","Kiley Bess","6-0","SR","guard","Poplar Bluff, MO"
"Indiana State","out","Mya Glanton","6-0","RS SR","forward","East St. Louis, IL"
"IUPUI","in","Nevaeh Foster","5-8","FR","combo guard","South Bend, IN"
"IUPUI","out","Jaela Johnson","5-5","GR","point guard","Louisville, KY"
"IUPUI","out","Jaci Jones","5-5","SR","point guard","Fort Wayne, IN"
"IUPUI","out","Abby Wolterman","6-0","SO","forward","West Chester, OH"
"Iona","out","Daniela Ciscar","6-1","FR","guard","Valencia, Spain"
"Iona","out","Noa Givon","5-10","SO","guard","Ra'anana, Israel"
"Iowa State","out","Jalynn Bristow","6-2","FR","forward","Holliday, TX"
"Iowa State","out","Shantavia Dawkins","5-7","SO","guard","Brampton, ON"
"Iowa State","out","Mary Kate King","5-3","JR","point guard","Dubuque, IA"
"Iowa State","out","Isnelle Natabou","6-5","SR","center","Česká Lípa, Czech Republic"
"Iowa State","out","Izzi Zingaro","6-4","RS SO","forward","Bolton, ON"
"Iowa State","out","Nyamer Diew","6-2","SR","forward","Marshall, MN"
"Jackson State","out","Mya Pratcher","6-3","SO","forward","Memphis, TN"
"Jackson State","out","Taylor Woodhouse","5-7","JR","point guard","Southaven, MS"
"Jacksonville","out","Asiana Britt","5-6","FR","shooting guard","Jacksonville, FL"
"Jacksonville","out","Kyshonna Brown","5-11","SO","wing","Augusta, GA"
"Jacksonville State","out","Kristol Ayson","5-7","JR","combo guard","Tacoma, WA"
"Jacksonville State","out","Keiara Griffin","6-0","SR","wing","Birmingham, AL"
"Jacksonville State","out","Jaz Spencer","5-6","JR","combo guard","Bartow, FL"
"James Madison","in","Ro Scott","5-8","SR","guard","Earle, AR"
"James Madison","out","Steph Ouderkirk","6-1","RS JR","forward","Penn Laird, VA"
"James Madison","out","Chloe Sterling","5-7","SO","point guard","Kennesaw, GA"
"James Madison","out","Amira Williams","5-11","RS JR","wing","Winston-Salem, NC"
"Kansas","out","Paris Gaines","6-3","FR","center","Orlando, FL"
"Kansas","out","Skyler Gill","5-10","JR","wing","Wichita, KS"
"Kansas","out","Zsofia Telegdy","6-3","SO","forward/center","Budapest, Hungary"
"Kansas City","out","Rain Green","5-8","RS JR","point guard","Baltimore, MD"
"Kansas City","out","Zaire Harrell","5-8","SO","point guard","St. Louis, MO"
"Kansas State","in","Kennedy Taylor","6-3","JR","forward","Shawnee Mission, KS"
"Kansas State","out","Heavenly Greer","6-2","RS JR","forward","Phoenix, AZ"
"Kansas State","out","Ja'Mia Harris","5-11","RS FR","combo guard","Lancaster, TX"
"Kennesaw State","in","Claire Davis","6-2","SO","forward","Cartersville, GA"
"Kennesaw State","in","Keiara Griffin","6-0","SR","wing","Birmingham, AL"
"Kennesaw State","out","Tania Allen","6-0","JR","wing","Chicago, IL"
"Kennesaw State","out","Laura Toffali","5-9","SO","shooting guard","Villasanta, Italy"
"Kentucky","in","Georgia Amoore","5-6","SR","point guard","Ballarat, Victoria, Australia"
"Kentucky","in","Clara Strack","6-5","FR","center","Buffalo, NY"
"Kentucky","out","Jordy Griggs","6-2","SO","wing","Moreno Valley, CA"
"Kentucky","out","Amiya Jenkins","5-10","SO","shooting guard/wing","Lexington, KY"
"Kentucky","out","Nyah Leveretter","6-2","GR","forward","Blythewood, SC"
"Kentucky","out","Brooklynn Miles","5-5","JR","point guard","Frankfort, KY"
"Kentucky","out","Ajae Petty","6-3","SR","forward","Baltimore, MD"
"Kentucky","out","Eniya Russell","6-1","GR","guard","Baltimore, MD"
"Kentucky","out","Maddie Scherr","5-10","GR","guard","Florence, KY"
"Kentucky","out","Zennia Thomas","6-2","SO","forward","Lyndhurst, OH"
"Kentucky","out","Janae Walker","6-3","FR","center","Tyrone, GA"
"La Salle","out","Amber Bullard","6-4","FR","center","Philadelphia, PA"
"La Salle","out","Hailey Chiles","6-3","FR","center","Greenwood, SC"
"La Salle","out","Fiona Connolly","5-8","SO","point guard","South Burlington, VT"
"La Salle","out","Emma Egan","5-8","SO","guard","Mount Washington, KY"
"La Salle","out","Nicole Melious","5-8","FR","combo guard","Staten Island, NY"
"La Salle","out","Laia Monclova","6-1","FR","wing","Mallorca, Spain"
"La Salle","out","Emilee Tahata","6-1","JR","forward","Springfield, Australia"
"La Salle","out","Gabby Turco","5-10","JR","guard","Wildwood, NJ"
"Lafayette","out","Makayla Andrews","5-10","SR","shooting guard","Neptune, NJ"
"Lamar","out","Portia Adams",,,"forward/center","Central, TX"
"Lamar","out","Elise Jones",,"JR","wing","Huntsville, TX"
"Le Moyne","out","Tamiya Turner","5-11","SO","forward","Howell, NJ"
"Lehigh","out","Maddie Albrecht","6-0","SR","wing","Billings, MT"
"Lehigh","out","Jamie Behar","6-1","SR","wing","Oceanside, NY"
"Lehigh","out","Maggie Brown","6-1","SR","wing/forward","Brentwood, TN"
"Lehigh","out","Julianna Ouimette","5-10","FR","point guard","Minocqua, WI"
"Liberty","out","Ella Wigal","6-0","FR","guard","Granville, OH"
"Lindenwood","out","Celina Arnlund","JR","forward","Stockholm, Sweden"
"Lindenwood","out","Jannaeleigh Cooper","5-11","FR","combo guard","Lubbock, TX"
"Lindenwood","out","Kaylen Evans","5-6","JR","combo guard","New Lenox, IL"
"Lindenwood","out","Kaliyah Sain","6-0","wing/forward","Cedar Rapids, IA"
"Lipscomb","out","Kamil Collier","6-1","SO","forward","Nashville, TN"
"Lipscomb","out","Diana Saleh","6-3","SR","center","Dearborn, MI"
"Lipscomb","out","Aleah Sorrentino","6-2","RS JR","wing","Palm Bay, FL"
"Little Rock","out","Mira Hanna",,,"guard","Little Rock, AR"
"Little Rock","out","Jaiyah Harris-Smith",,,"guard","Little Rock, AR"
"Little Rock","out","Tia Harvey",,,"guard","North Little Rock, AR"
"Little Rock","out","Sha'Nequa Henry",,,"guard","Little Rock, AR"
"Long Beach State","out","Davai Matthews","6-3","SO","center","Detroit, MI"
"Long Beach State","out","Olivia Moore","5-8","RS FR","guard","Spokane, WA"
"Long Beach State","out","Sydney Woodley","5-8","JR","guard","Menifee, CA"
"Long Beach State","out","Abby Shoff","6-0","SO","forward","Redding, CA"
"Long Beach State","out","Casey Valenti Paea","5-9","RS JR","guard","Melbourne, Australia"
"Long Island University","out","Jaini Edmonds","5-8","SR","shooting guard","Worcester, MA"
"Long Island University","out","Mariah Elohim","5-10","SO","shooting guard","Westlake Village, CA"
"Long Island University","out","Nia Santiago","5-10","FR","wing","Melbourne, FL"
"Longwood","out","Laney Bone","5-11","JR","forward","Chattanooga, TN"
"Longwood","out","Alyssa Chapman","6-2","FR","forward","Manakin Sabot, VA"
"Longwood","out","Stephanie Davis","6-0","SR","guard","Windham, NH"
"Longwood","out","Adriana Shipp-Davis","5-10","RS SR","guard","Chesapeake, VA"
"Longwood","out","Bailey Williams","5-7","SR","point guard","Midlothian, VA"
"UL Lafayette","out","Tamera Johnson","5-11","SR","forward","Lafayette, LA"
"UL Lafayette","out","Brandi Williams","5-6","SR","guard","Lake Charles, LA"
"UL Monroe","in","Brikayla Gray","5-8","RS JR","shooting guard","Hebron, MS"
"UL Monroe","in","Lauren Gross","5-10","GR","shooting guard","Southaven, MS"
"UL Monroe","in","Asjha Leake","6-3","JR","center","Cibolo, TX"
"UL Monroe","in","Meloney Thames","5-8","JR","combo guard","Choctaw, MS"
"UL Monroe","out","Myca Trail","5-10","SO","wing","Lake Charles, LA"
"LSU","in","Jersey Wolfenbarger","6-5","JR","guard/forward","Fort Smith, AR"
"LSU","out","Kateri Poole","5-8","SR","point guard","Bronx, NY"
"LSU","out","Hailey Van Lith","5-7","GR","point guard","Wenatchee, WA"
"LSU","out","Angelica Velez","5-7","FR","point guard","Bronx, NY"
"Louisiana Tech","out","Ayen Angoi","6-0","SO","center","Dallas, TX"
"Louisiana Tech","out","Amaya Brannon","5-11","JR","wing","Plano, TX"
"Louisiana Tech","out","Anja Bukvic","5-10","SO","shooting guard","Belgrade, Serbia"
"Louisiana Tech","out","Paris Guillory","5-7","FR","point guard","Lake Charles, LA"
"Louisiana Tech","out","Silvia Nativi","6-0","JR","point guard","Ferrara, Italy"
"Louisville","out","Alexia Mobley","6-2","RS SO","forward","Reynoldsburg, OH"
"Louisville","out","Hennie van Schaik","6-3","JR","forward","Urk, Netherlands"
"Loyola Chicago","out","Aaliyah Moore","6-0","SR","forward","Milwaukee, WI"
"Loyola Chicago","out","Mallory Ramage","5-10","SO","guard","Mattoon, IL"
"Loyola Chicago","out","Jazelle Young","5-11","FR","forward","Chicago, IL"
"Loyola Chicago","out","Maddie Petroelje","6-1","FR","wing","Hudsonville, MI"
"Loyola Marymount","out","Cynthia Ezeja","6-2","GR","forward","Athens, Greece"
"Loyola Marymount","out","Sydney Gandy","5-5","JR","point guard","Long Beach, CA"
"Loyola Marymount","out","Alexis Mark","6-0","SR","wing","Chatsworth, CA"
"Loyola Marymount","out","Amaya Oliver","6-2","SR","forward","Richmond, CA"
"Loyola Marymount","out","Nicole Rodriguez","5-8","SR","shooting guard","Eastvale, CA"
"Loyola Marymount","out","Kimora Sykes","6-0","RS SR","forward","Fontana, CA"
"Loyola Marymount","out","Noelle Yancy","5-10","SR","point guard","Dallas, TX"
"Maine","out","Milana Nenadic","6-3","SO","center","Kitchener, ON"
"Manhattan","in","Hana Mühl","5-8","SO","combo guard","Zagreb, Croatia"
"Manhattan","out","Anne Bair","5-7","SO","point guard","Gettysburg, PA"
"Manhattan","out","Jade Blagrove","6-2","SR","forward","Barendrecht, Netherlands"
"Marist","out","Zaria Shazer","6-1","SR","forward","Elmira, NY"
"Marquette","out","Nia Clark","5-9","GR","guard","Indianapolis, IN"
"Marquette","out","Mackenzie Hare","5-9","SO","shooting guard","Naperville, IL"
"Marquette","out","Liza Karlen","6-2","SR","center","St. Paul, MN"
"Marquette","out","Lee Volker","6-1","JR","wing","Purcellville, VA"
"Marshall","out","Terah Harness","5-9","JR","shooting guard","New Carlisle, OH"
"Marshall","out","Aislynn Hayes","5-6","SR","guard","Murfreesboro, TN"
"Marshall","out","Alasia Hayes","5-8","RS JR","point guard","Murfreesboro, TN"
"Marshall","out","Mahogany Matthews","6-1","GR","forward","Raeford, NC"
"Marshall","out","Sydni Scott","5-8","SO","guard","Prospect Park, PA"
"Maryland","out","Summer Bostock","6-1","RS FR","guard","Toronto, ON"
"Maryland","out","Hawa Doumbouya","6-7","FR","center","Bronx, NY"
"Maryland","out","Faith Masonius","6-1","GR","wing","Belmar, NJ"
"Maryland","out","Riley Nelson","6-2","FR","wing","Clarksburg, MD"
"UMBC","out","Grace Ceseretti","5-9","SO","shooting guard","Barrington, RI"
"UMBC","out","Laycee Drake","5-6","JR","point guard","Hancock, NY"
"Maryland Eastern Shore","out","J'ála Bannerman","5-6","SO","point guard","Baltimore, MD"
"Maryland Eastern Shore","out","Zamara Haynes","5-7","SR","point guard","Philadelphia, PA"
"Maryland Eastern Shore","out","Aysia Hinton","5-7","FR","combo guard","Durham, NC"
"Maryland Eastern Shore","out","Ariana Seawell","6-2","JR","forward/center","Bronx, NY"
"UMass","out","Alexsia Rose","5-7","SR","point guard","Bloomfield, CT"
"UMass","out","Lilly Taulelei","6-3","FR","forward/center","Wellington, New Zealand"
"UMass","out","Kristin Williams","5-8","JR","shooting guard","San Diego, CA"
"UMass Lowell","out","Cire Worley","6-0","FR","wing","Philadelphia, PA"
"McNeese State","in","Bre Sutton","5-9","JR","point guard","New Orleans, LA"
"McNeese State","out","Helena Galunic","6-1","JR","forward","Zagreb, Croatia"
"McNeese State","out","Cristina Gil","5-8","SR","point guard","Barcelona, Spain"
"McNeese State","out","Marta Hermoso","6-2","SO","forward","Seville, Spain"
"McNeese State","out","Clara Rosini","5-10","SR","shooting guard/wing","Trieste, Italy"
"McNeese State","out","Emilia Tenbrock","6-1","JR","shooting guard","Dusseldorf, Germany"
"McNeese State","out","Gabrielle Wener","6-3","RS JR","wing","Kissimmee, FL"
"McNeese State","out","Grace Wener","6-4","SO","center","Kissimmee, FL"
"Memphis","out","Jana Sallman","6-3","FR","forward/center","Cairo, Egypt"
"Memphis","out","Nikole Thomas","5-7","FR","combo guard","Pasco, WA"
"Mercer","out","Cianté Downs",,,"wing/forward",
"Mercer","out","Summah Evans","6-0","SR","wing/forward","Cairns, Australia"
"Mercer","out","Enjulina Gonzalez",,,"wing",
"Mercer","out","Briana Peguero","5-7","JR","guard","Houston, TX"
"Mercer","out","Maria Serracanta",,,"wing/forward",
"Mercer","out","Stacie Jones",,"grad xfer",,
"Merrimack","out","Izabella Forker","5-8","FR","shooting guard","Telford, PA"
"Merrimack","out","Tara Murray","5-11","FR","wing","Deer Park, NY"
"Merrimack","out","Amaya Staton","6-1","SR","forward","Lorain, OH"
"Miami (FL)","out","Haley Cavinder","5-6","SR","guard","Gilbert, AZ"
"Miami (FL)","out","Lashae Dwyer","5-8","JR","point guard","Toronto, ON"
"Miami (FL)","out","Kyla Oldacre","6-6","SO","center","Mason, OH"
"Miami (FL)","out","Ally Stedman","5-9","SO","point guard","Phoenix, AZ"
"Miami (FL)","out","Ja'Leah Williams","5-9","JR","guard","Pompano Beach, FL"
"Miami (OH)","out","Jessie Dai","6-1","JR","forward","DaQing, China"
"Miami (OH)","out","Maddy Huhn","5-8","FR","shooting guard","Carlsbad, CA"
"Miami (OH)","out","Riley Neal","5-11","SO","wing","Prospect, KY"
"Miami (OH)","out","Jordan Tuff","5-8","GR","shooting guard","Kernersville, NC"
"Michigan","out","Chyra Evans","6-2","SO","forward","Newcastle, New South Wales, Australia"
"Michigan","out","Laila Phelia","6-0","JR","wing","Cincinnati, OH"
"Michigan","out","Elise Stuck","6-2","SR","wing","Charlevoix, MI"
"Michigan","out","Cameron Williams","6-3","SR","forward","Chicago, IL"
"Michigan","out","Taylor Williams","6-2","GR","forward","New Baltimore, MI"
"Michigan","out","Taylor Woodson","6-0","FR","wing","Minnetonka, MN"
"Michigan State","out","Gabby Elliott","5-10","SR","wing","Detroit, MI"
"Michigan State","out","DeeDee Hagemann","5-7","JR","point guard","Detroit, MI"
"Michigan State","out","Lauren Ross","5-10","RS JR","wing","Muskegon, MI"
"Michigan State","out","Bree Robinson","5-8","FR","combo guard","Mississauga, ON"
"Middle Tennessee","out","Sifa Ineza","5-11","RS SO","shooting guard","Musanze, Rwanda"
"Middle Tennessee","out","Zahira Arizmendi Rubio","5-8","FR","shooting guard","Madrid, Spain"
"Milwaukee","out","Kalvina Eubanks","5-8","JR","guard","Bellwood, IL"
"Ole Miss","out","Marija Avlijas","5-9","FR","guard","Belgrade, Serbia"
"Ole Miss","out","Elauna Eaton","6-0","RS JR","guard","Helena, AR"
"Ole Miss","out","Zakiya Stephenson","5-4","FR","point guard","Virginia Beach, VA"
"Mississippi State","out","Jasmine Brown-Hagger","5-9","FR","guard","Shorewood, IL"
"Mississippi State","out","Nyayongah Gony","6-4","RS JR","wing","Lincoln, NE"
"Mississippi State","out","Meloney Thames","5-8","JR","combo guard","Choctaw, MS"
"Mississippi Valley State","out","Amberly Brown","6-1","JR","forward","Rome, GA"
"Mississippi Valley State","out","SyAnn Holmes","6-0","SR","forward","Evanston, IL"
"Mississippi Valley State","out","Lizzie Walker","5-10","JR","wing","Crystal Springs, MS"
"Missouri","out","Mama Dembele","5-6","SR","point guard","Manlleu, Spain"
"Missouri","out","Sarah Linthacum","6-3","JR","forward","Jefferson City, MO"
"Missouri State","in","Cady Pauley","5-11","SO","shooting guard","Milan, MO"
"Missouri State","in","Zoe Stewart","5-10","RS FR","guard","Terre Haute, IN"
"Missouri State","out","Natasha Barnes","5-9","FR","combo guard","Chicago, IL"
"Missouri State","out","Jaiden Bryant","5-9","SO","wing","St. Louis, MO"
"Missouri State","out","Indya Green","5-11","JR","wing/forward","Springfield, MO"
"Missouri State","out","Jade Masogayo","6-3","SO","center","Fort Worth, TX"
"Missouri State","out","Kennedy Taylor","6-3","JR","forward","Shawnee Mission, KS"
"Missouri State","out","Louis Volker","6-1","FR","center","Purcellville, VA"
"Monmouth","out","Antonia Panayides","5-7","JR","shooting guard","Tinton Falls, NJ"
"Monmouth","out","Ariana Vanderhoop","5-9","SR","combo guard","Boston, MA"
"Monmouth","out","Diamond Wiggins","5-10","FR","wing","Norfolk, VA"
"Montana","in","Izzi Zingaro","6-4","RS SO","forward","Bolton, ON"
"Montana","out","Macey Huard","6-2","FR","shooting guard","Highlands Ranch, CO"
"Montana","out","Libby Stump","5-8","SO","combo guard","Ferndale, WA"
"Montana State","out","Malea Egan","5-6","FR","combo guard","Colstrip, MT"
"Montana State","out","Mattie Olson","5-8","SO","guard","Idaho Falls, ID"
"Morehead State","out","Skylar Barnes","5-9","juco SO","SG/W","Blinn College (TX) / Lancaster, TX"
"Morehead State","out","Mikaela Hall","6-1","JR","forward","Lawton, OK"
"Morehead State","out","Hannah Hicks","6-1","JR","forward","Cleveland, OH"
"Morehead State","out","Blessing King","5-10","SO","wing","Columbus, OH"
"Morehead State","out","Paris McBride","5-6","RS JR","point guard","Richmond, VA"
"Morehead State","out","Hallie Rhodes","5-11","SO","wing","Keller, TX"
"Morehead State","out","Jayden Rhodes","5-11","SO","forward","Keller, TX"
"Morehead State","out","Valentina Saric","6-2","SO","wing","Los Angeles, CA"
"Morehead State","out","Melissa Secchiaroli","5-10","JR","wing","Sorgues, France"
"Morehead State","out","Matilda Söderlund","5-6","JR","shooting guard","Stockholm, Sweden"
"Morgan State","out","Brooklyn Jones","5-7","SR","point guard","Pittsburgh, PA"
"Morgan State","out","Kaia Ponder","6-0","SO","forward","Tulsa, OK"
"Morgan State","out","Amari Smith","5-10","FR","wing","Newport News, VA"
"Mount St. Mary's","in","Anna LeMaster","5-9","SR","wing","Ashburn, VA"
"Mount St. Mary's","out","Giana Hoddinott","5-9","RS FR","combo guard","Littlestown, PA"
"Mount St. Mary's","out","Isabella Hunt","5-10","SR","forward","Johnstown, PA"
"Mount St. Mary's","out","Jada Lee","5-5","RS JR","combo guard","Pittsburgh, PA"
"Mount St. Mary's","out","Jasmine Lindsay-Huskey","5-10","JR","wing","Middletown, MD"
"Mount St. Mary's","out","McKenzie Matheny","5-11","SO","forward","West Springfield, VA"
"Mount St. Mary's","out","Jessica Tomasetti","5-5","SR","combo guard","North Potomac, MD"
"Murray State","in","Halli Poock","5-4","FR","point guard","Waterloo, IA"
"Murray State","out","Zoe Stewart","5-10","RS FR","guard","Terre Haute, IN"
"Murray State","other","Kayla Mitchell","5-3","GR","point guard","Jonesboro, AR"
"Navy","out","Bianca Coleman","5-10","SO","shooting guard/wing","Abington, PA"
"Nebraska","out","Annika Stewart","6-3","SR","forward/center","Plymouth, MN"
"Nevada","out","Natalie Lathrop","6-3","RS SO","center","Tualatin, OR"
"UNLV","out","Alyssa Durazo-Frescas","5-7","JR","combo guard","Newport Beach, CA"
"UNLV","out","Nneka Obiazor","5-10","RS JR","forward","Eden Prairie, MN"
"New Hampshire","out","Paige Cote","6-2","SR","center","Sanford, ME"
"New Hampshire","out","Adara Groman","5-8","SR","shooting guard","Scituate, MA"
"New Hampshire","out","Bella Stuart","5-11","SR","wing","Clifton Park, NY"
"NJIT","out","Lyzi Litwinko","5-8","SR","guard","Berlin, CT"
"New Mexico","out","Jaelyn Bates","5-7","SO","point guard","Albuquerque, NM"
"New Mexico","out","Natalia Chavez","5-10","RS FR","shooting guard","Cochiti Pueblo, NM"
"New Mexico","out","Mackenzie Curtis","5-10","RS SO","shooting guard","Lakeside, CA"
"New Mexico","out","Nahawa Diarra Berthe","5-9","JR","guard","Barcelona, Spain"
"New Mexico","out","Paula Reus","6-2","JR","forward","Palma de Mallorca, Spain"
"New Mexico","out","Hannah Robbins","6-0","SO","guard","Phoenix, AZ"
"New Mexico","out","Nyah Wilson","5-8","JR","guard","Dallas, TX"
"New Mexico State","out","Sabou Gueye","5-9","JR","guard","Dakar, Senegal"
"New Orleans","out","Yaly Ben Harush","5-9","FR","shooting guard/wing","Elitzur Holon, Israel"
"New Orleans","out","Zoe Cooper","5-11","SR","forward","Birmingham, AL"
"New Orleans","out","Kristen Crenshaw-Gill","5-9","RS SO","guard","Youngstown, OH"
"New Orleans","out","Kyla Davis","5-9","RS JR","guard","Fort Worth, TX"
"New Orleans","out","Evangelia Davlakou","5-5","FR","point guard","Athens, Greece"
"New Orleans","out","Justice Ross","6-0","RS SR","wing","Des Moines, IA"
"New Orleans","out","Patricia Sherrill","6-1","JR","forward/center","Alexandria, VA"
"New Orleans","out","Imani Williams","5-8","SO","point guard","Hopkins, SC"
"Niagara","out","Kylie Buckley",,,"guard",
"Niagara","out","Shelby Fiddler",,,"guard",
"Niagara","out","Saige Glover","5-7","GR","point guard",
"Niagara","out","Chardonnay Hartley",,,"guard",
"Niagara","out","Ary Hicks",,,"guard",
"Nicholls State","out","Lexi Alexander","6-0","SO","wing","Round Rock, TX"
"Nicholls State","out","Malaysia DePrisco","5-9","SO","shooting guard","Austin, TX"
"Nicholls State","out","Adyson James","5-8","FR","shooting guard","San Antonio, TX"
"Nicholls State","out","Khia Lee","5-10","JR","forward","Manchester, England"
"Nicholls State","out","Ashley Malone","5-7","SR","shooting guard","Nashville, TN"
"Nicholls State","out","Kate Manley","6-4","SR","center","Roswell, GA"
"Norfolk State","out","Alana Swift","5-6","RS SR","point guard","Philadelphia, PA"
"North Alabama","in","Allie Craig Cruce","6-1","GR","forward","Killen, AL"
"North Alabama","out","Ruth Balogun","5-10","SR","wing/forward","Lagos, Nigeria"
"North Alabama","out","Jade Moore","5-7","SR","shooting guard","St. Louis, MO"
"North Carolina","in","Grace Townsend","5-5","SR","point guard","Midlothian, VA"
"North Carolina","out","Rylee Grays","6-3","FR","center","Pearland, TX"
"North Carolina","out","Teonni Key","6-4","RS SO","wing","Cary, NC"
"North Carolina","out","Paulina Paris","5-9","SO","combo guard","Congers, NY"
"North Carolina","out","Anya Poole","6-2","SR","forward","Raleigh, ND"
"North Carolina","out","Alexandra Zelaya","6-4","SR","wing/forward","Goodyear, AZ"
"North Carolina A&T","out","Tamyra Council","6-0","SO","forward","Lumberton, NC"
"North Carolina A&T","out","Taliya Council","6-0","SO","forward","Lumberton, NC"
"North Carolina A&T","out","Nyah Willis","5-10","GR","guard","San Jose, CA"
"UNC Asheville","out","McKinley Brooks-Sumpter","5-7","RS SR","guard","Columbia, SC"
"UNC Asheville","out","Millie Brown","5-6","SO","shooting guard","Nashville, TN"
"UNC Asheville","out","Mallory Bruce","5-11","JR","wing","Greenville, SC"
"UNCG","out","Antoniette Emma-Nnopu",,,"wing/forward",
"UNCG","out","Isys Grady",,,"wing/forward",
"UNCG","out","Nina Horvath",,,"wing/forward",
"NC State","out","Alyssa Lewis","5-7","FR","shooting guard","Harrisburg, NC"
"UNC Wilmington","in","Torin Rogers","6-1","SO","forward","Brasstown, NC"
"UNC Wilmington","out","Sammy Ackles","6-3","RS SO","forward/center","Holly Springs, NC"
"UNC Wilmington","out","Kylie Chavis","5-7","FR","combo guard","Red Springs, NC"
"UNC Wilmington","out","Lexi Jackson","6-4","SR","center","Pittsburgh, PA"
"UNC Wilmington","out","Britany Range","5-10","SR","shooting guard","Middleburg, FL"
"UNC Wilmington","out","Mingaile Urmuleviciute","6-3","SO","forward/center","Kaunas, Lithuania"
"North Dakota","in","Walker Demers","6-2","SO","center","Grafton, ND"
"North Dakota","out","Mahogany Cottingham","5-8","FR","point guard","Parma, OH"
"North Dakota","out","DJ Davis","5-6","SR","point guard","Dallas, TX"
"North Dakota","out","Darcy Jardine","6-4","SO","center","Cheyenne, WY"
"North Dakota State","out","Kristina Ekofo Yomane","6-1","SR","forward","Brussels, Belgium"
"North Dakota State","out","Elle Evans","6-3","SO","wing","Edwardsville, IL"
"North Dakota State","out","Grace Massaquoi","5-10","SO","wing","Minneapolis, MN"
"North Florida","out","Kyla Cain","5-11","FR","wing","Atlanta, GA"
"North Texas","out","Breanna Davis","5-9","SO","point guard","Red Oak, TX"
