ncaa_id,game_id,date,start_time,location,home,home_fouls,home_technicals,visitor,visitor_fouls,visitor_technicals,officials
37,20054,11/30/2021,7:00 PM,"Auburn Arena, Auburn, AL",Auburn,14,0,North Florida,17,0,"Kaz Beverley,  Kristen Bell,  Felicia Grinter"
37,20097,2/27/2022,4:00 PM,"Memorial Coliseum, Lexington, KY",Kentucky,21,0,Auburn,15,0,"Nykesha Thompson,  Luis Gonzalez,  Brian Hall"
37,20058,12/18/2021,2:00 PM,"Auburn Arena, Auburn, AL",Auburn,16,0,Grambling,23,0,"Teresa Stuck,  Carla Fountain,  Denise Brooks"
37,20086,1/13/2022,5:00 PM,"Exactech Arena at Stephen C. O'Connell Center, Gainesville, FL",Florida,19,0,Auburn,20,1,"Fatou Cissoko-Stephens,  Billy Smith,  Cameron Inouye"
37,20090,1/30/2022,2:00 PM,"Memorial Gymnasium, Nashville, TN",Vanderbilt,15,0,Auburn,23,1,"Natasha Camy,  Maggie Tieman,  Roy Gulbeyan"
37,20053,11/26/2021,12:00 PM,"Auburn Arena, Auburn, AL",Auburn,17,0,Charleston So.,23,0,"Timothy Daley,  Christopher Sauceda,  Angelica Suffren"
37,20049,11/11/2021,7:00 PM,"Auburn Arena, Auburn, AL",Auburn,26,1,Ga. Southern,23,0,"Teresa Stuck,  Starr Jefferson,  Denise Brooks"
37,20052,11/24/2021,12:00 PM,"Jack Stephens Center, Little Rock, AR",Little Rock,20,0,Auburn,19,0,"Eric Koch,  Ify Seales,  Chaney Muench"
37,20091,2/3/2022,7:00 PM,"Auburn Arena, Auburn, AL",Auburn,21,0,Mississippi St.,17,0,"Timothy Greene,  Angelica Suffren,  Pualani Spurlock-Welsh"
37,20087,1/16/2022,4:00 PM,"Reed Arena, Bryan-College Station, TX",Texas A&M,19,0,Auburn,17,0,"Demoya Williams,  Katie Lukanich,  Brian Hall"
796,13727,11/22/2021,6:30 PM,"Kohl Center, Madison, WI",Wisconsin,25,0,Chicago St.,30,0,"Jamie Broderick,  Karleena Tobin,  Brian Hall"
796,13731,12/1/2021,6:30 PM,"Kohl Center, Madison, WI",Wisconsin,24,0,Virginia Tech,21,0,"Tiara Cruse,  Mark Berger,  Beverly Roberts"
796,13834,1/5/2022,6:30 PM,"Kohl Center, Madison, WI",Wisconsin,14,0,Indiana,14,0,"Angelica Suffren,  Nykesha Thompson,  Michael McConnell"
796,13863,2/6/2022,1:00 PM,"Kohl Center, Madison, WI",Wisconsin,13,0,Illinois,21,0,"Mark Resch,  Cameron Inouye,  Angie Enlund"
796,13838,1/16/2022,2:00 PM,"Jersey Mike's Arena, Piscataway, NJ",Rutgers,16,0,Wisconsin,11,0,"Xiomara Cruze,  Jeff Cross,  Karleena Tobin"
796,13862,2/3/2022,6:30 PM,"Kohl Center, Madison, WI",Wisconsin,10,0,Iowa,8,0,"Erika Herriman,  Tiara Cruse,  Beverly Roberts"
796,13835,1/9/2022,2:00 PM,"State Farm Center, Champaign, IL",Illinois,10,0,Wisconsin,16,0,"Timothy Greene,  Kalei Enterline,  Maggie Tieman"
796,13730,11/28/2021,12:00 PM,"CU Events Center, Boulder, CO",Colorado,14,0,Wisconsin,13,0,"Tiffany Bird,  Cheryl Flores,  Robert Scofield"
